Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0006915~apoptosis	7	9.333333333333334	0.014003565972574353	E2F1, CASP8AP2, CSRNP1, PRKDC, DAXX, CASP2, MYC	59	465	13588	3.466958264989976	0.9992788068238123	0.22769729233996439	18.438697702939233
KEGG_PATHWAY	mmu05219:Bladder cancer	3	4.0	0.014105832186906185	E2F1, E2F3, MYC	26	42	5738	15.763736263736265	0.4253788561501679	0.16863092171623784	12.119389866110254
KEGG_PATHWAY	mmu03420:Nucleotide excision repair	3	4.0	0.014754709140582406	RPA2, RFC1, DDB2	26	43	5738	15.397137745974955	0.4399454334825488	0.13491738241093665	12.64398099211801
GOTERM_MF_FAT	GO:0016563~transcription activator activity	5	6.666666666666667	0.01504013700875137	E2F1, E2F3, HCFC1, DAXX, ATXN7L3	50	259	13288	5.130501930501931	0.8764742185977382	0.1157522222301085	16.335494013686123
GOTERM_BP_FAT	GO:0012501~programmed cell death	7	9.333333333333334	0.015122007962226104	E2F1, CASP8AP2, CSRNP1, PRKDC, DAXX, CASP2, MYC	59	473	13588	3.408320493066256	0.9995971085412496	0.2362740993303425	19.765636997367718
INTERPRO	IPR012682:Transcription regulator Myc, N-terminal	2	2.666666666666667	0.016221616990645473	MYC, MYCN	59	5	17763	120.42711864406779	0.9399751108821411	0.3742677180816043	18.120182688224705
INTERPRO	IPR002418:Transcription regulator Myc	2	2.666666666666667	0.016221616990645473	MYC, MYCN	59	5	17763	120.42711864406779	0.9399751108821411	0.3742677180816043	18.120182688224705
INTERPRO	IPR017871:ABC transporter, conserved site	3	4.0	0.018557312940622593	SMC1A, SMC2, SMC3	59	64	17763	14.112552966101696	0.960118612871604	0.36888277066199293	20.465103351302037
GOTERM_BP_FAT	GO:0010605~negative regulation of macromolecule metabolic process	7	9.333333333333334	0.020398799072056148	GMNN, RBL1, CTCF, DAXX, MYC, MXD3, CBX5	59	506	13588	3.186038721779326	0.999974396729161	0.29701965636315286	25.759443987376063
GOTERM_BP_FAT	GO:0008219~cell death	7	9.333333333333334	0.020576062709769468	E2F1, CASP8AP2, CSRNP1, PRKDC, DAXX, CASP2, MYC	59	507	13588	3.1797546217363686	0.9999766666924924	0.29110831744390775	25.953363896156734
GOTERM_MF_FAT	GO:0008134~transcription factor binding	5	6.666666666666667	0.02133319749621791	E2F1, CASP8AP2, HCFC1, DAXX, ATXN7L3	50	288	13288	4.613888888888889	0.9489952951342743	0.15238122317573521	22.414682818151487
GOTERM_CC_FAT	GO:0000800~lateral element	2	2.666666666666667	0.022184346052237368	SMC3, RAD51	41	7	12504	87.13588850174216	0.924220218381828	0.16829732867499647	22.55040722651025
GOTERM_BP_FAT	GO:0016265~death	7	9.333333333333334	0.022786191540743087	E2F1, CASP8AP2, CSRNP1, PRKDC, DAXX, CASP2, MYC	59	519	13588	3.1062342836615398	0.9999926774508646	0.30893213790298235	28.33190997342746
UP_SEQ_FEATURE	mutagenesis site	8	10.666666666666668	0.022910108146717033	KCND2, EZH2, CTCF, MCM2, DAXX, CASP2, SIK2, SMC3	64	723	16021	2.7698824343015214	0.9986778739792062	0.6120700908967969	26.468170654713663
BIOCARTA	m_cellcyclePathway:Cyclins and Cell Cycle Regulation	3	4.0	0.02524671814412999	E2F1, RBL1, CDC25A	14	23	1171	10.909937888198757	0.6017008142890516	0.6017008142890516	20.39345548492153
GOTERM_BP_FAT	GO:0051170~nuclear import	3	4.0	0.02540480487655859	GM5643, NUTF2, TNPO2, HNRNPA1	59	58	13588	11.912331969608417	0.9999981513767146	0.3297016753522761	31.057972560506663
INTERPRO	IPR015633:E2F Family	2	2.666666666666667	0.025830161671085483	E2F1, E2F3	59	8	17763	75.26694915254237	0.9889040420854684	0.4303008124529306	27.37749415902516
GOTERM_BP_FAT	GO:0045934~negative regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	6	8.0	0.02683321005964013	GMNN, RBL1, DAXX, MYC, MXD3, CBX5	59	397	13588	3.4806813815480515	0.9999991288868316	0.33661308749063446	32.503992094587765
GOTERM_MF_FAT	GO:0003712~transcription cofactor activity	4	5.333333333333334	0.028570195012046315	CASP8AP2, HCFC1, DAXX, ATXN7L3	50	180	13288	5.905777777777778	0.9816862814167849	0.18984673587340795	28.90447885094558
GOTERM_BP_FAT	GO:0010629~negative regulation of gene expression	6	8.0	0.030266257631825128	RBL1, CTCF, DAXX, MYC, MXD3, CBX5	59	410	13588	3.3703183133526253	0.9999998578534647	0.3626706869767582	35.86472337338258
UP_SEQ_FEATURE	region of interest:Transactivation	2	2.666666666666667	0.03103581454730434	E2F1, E2F3	64	8	16021	62.58203125	0.9998786584952212	0.6760327032604128	34.179109676992894
UP_SEQ_FEATURE	short sequence motif:DEF box	2	2.666666666666667	0.03103581454730434	E2F1, E2F3	64	8	16021	62.58203125	0.9998786584952212	0.6760327032604128	34.179109676992894
SP_PIR_KEYWORDS	ubl conjugation pathway	6	8.0	0.03134598385330998	HUWE1, KDM2A, FBXL20, DTL, DDB2, USP49	66	484	17854	3.353493613824192	0.9708442738950089	0.16977464468116632	30.261990873866573
INTERPRO	IPR011598:Helix-loop-helix DNA-binding	3	4.0	0.0314641369624519	MYC, MXD3, MYCN	59	85	17763	10.6259222333001	0.9959083214309865	0.45718014677863683	32.34817586829954
INTERPRO	IPR003316:Transcription factor E2F/dimerisation partner (TDP)	2	2.666666666666667	0.03218455759205825	E2F1, E2F3	59	10	17763	60.213559322033895	0.9963998702448313	0.43031889470491114	32.96073548666438
GOTERM_BP_FAT	GO:0010558~negative regulation of macromolecule biosynthetic process	6	8.0	0.032511571342557166	GMNN, RBL1, DAXX, MYC, MXD3, CBX5	59	418	13588	3.3058146135755417	0.9999999567202371	0.37561514895875825	37.977772612583706
SP_PIR_KEYWORDS	Apoptosis	5	6.666666666666667	0.03433959600564457	E2F1, CASP8AP2, CSRNP1, DAXX, CASP2	66	337	17854	4.013577915655067	0.97932187976817	0.17628769674005307	32.66258820569969
GOTERM_BP_FAT	GO:0031327~negative regulation of cellular biosynthetic process	6	8.0	0.036072177025608415	GMNN, RBL1, DAXX, MYC, MXD3, CBX5	59	430	13588	3.2135593220338983	0.9999999934711498	0.399131592154106	41.19621357493658
GOTERM_BP_FAT	GO:0009890~negative regulation of biosynthetic process	6	8.0	0.03731094490205874	GMNN, RBL1, DAXX, MYC, MXD3, CBX5	59	434	13588	3.1839412637663047	0.9999999966245195	0.40150370924259515	42.27899259237593
GOTERM_BP_FAT	GO:0007131~reciprocal meiotic recombination	2	2.666666666666667	0.037777758899215134	TOPBP1, RAD51	59	9	13588	51.1789077212806	0.9999999973680621	0.39743060803866137	42.68218760429827
KEGG_PATHWAY	mmu05212:Pancreatic cancer	3	4.0	0.038680227766785424	E2F1, E2F3, RAD51	26	72	5738	9.195512820512821	0.7852925467622218	0.2648610661658737	30.144373353637533
GOTERM_BP_FAT	GO:0006310~DNA recombination	3	4.0	0.04073596194990779	PRKDC, TOPBP1, RAD51	59	75	13588	9.21220338983051	0.9999999994576523	0.41337989078475856	45.17691310006637
KEGG_PATHWAY	mmu05220:Chronic myeloid leukemia	3	4.0	0.04267713527388617	E2F1, E2F3, MYC	26	76	5738	8.711538461538462	0.817493289349355	0.24685290325551068	32.741617917435015
GOTERM_BP_FAT	GO:0044265~cellular macromolecule catabolic process	7	9.333333333333334	0.04460989682086529	HUWE1, KDM2A, FBXL20, DTL, DDB2, USP49, MYC	59	609	13588	2.6471848821352033	0.9999999999319672	0.4350402234079318	48.29119419644166
GOTERM_CC_FAT	GO:0000793~condensed chromosome	3	4.0	0.04583374614032347	TOPBP1, SMC3, RAD51	41	107	12504	8.550718030544791	0.9954630283582429	0.3021141316048811	41.39949202280023
GOTERM_BP_FAT	GO:0051345~positive regulation of hydrolase activity	3	4.0	0.046800661094389226	CASP8AP2, HTR2C, MYC	59	81	13588	8.529817953546768	0.9999999999790465	0.44314238773224135	49.97865055107384
GOTERM_MF_FAT	GO:0042623~ATPase activity, coupled	4	5.333333333333334	0.04887558269495789	DDX17, RFC1, ASNA1, RAD51	50	223	13288	4.766995515695067	0.9990074516219958	0.2923189209912511	44.55399078240491
INTERPRO	IPR001092:Basic helix-loop-helix dimerisation region bHLH	3	4.0	0.05100265356993987	MYC, MXD3, MYCN	59	111	17763	8.136967475950527	0.9998770921372672	0.5589302815255255	47.26618843358411
KEGG_PATHWAY	mmu05222:Small cell lung cancer	3	4.0	0.05220767496135398	E2F1, E2F3, MYC	26	85	5738	7.7891402714932125	0.8764580887928696	0.25824721099407955	38.59114444419711
GOTERM_MF_FAT	GO:0003713~transcription coactivator activity	3	4.0	0.052464164332356476	HCFC1, DAXX, ATXN7L3	50	100	13288	7.972799999999999	0.999410886657584	0.29822168289177287	46.966668420982316
GOTERM_BP_FAT	GO:0010628~positive regulation of gene expression	6	8.0	0.05662774420002731	E2F1, E2F3, CSRNP1, CTCF, MYC, ATXN7L3	59	488	13588	2.8316198944151156	0.9999999999998971	0.5011574490570374	56.93637837439985
UP_SEQ_FEATURE	region of interest:Dimerization	2	2.666666666666667	0.05741318380048053	E2F1, E2F3	64	15	16021	33.37708333333334	0.9999999547197033	0.8472469402436251	54.3587597933512
GOTERM_BP_FAT	GO:0016570~histone modification	3	4.0	0.058707413166382234	HUWE1, EZH2, PHF15	59	92	13588	7.509948415622698	0.9999999999999668	0.5060839141058304	58.28824094969539
GOTERM_BP_FAT	GO:0009057~macromolecule catabolic process	7	9.333333333333334	0.059257288555397226	HUWE1, KDM2A, FBXL20, DTL, DDB2, USP49, MYC	59	654	13588	2.465039133364433	0.9999999999999755	0.5016117102088374	58.63901854055557
GOTERM_CC_FAT	GO:0000795~synaptonemal complex	2	2.666666666666667	0.06211777310482387	SMC3, RAD51	41	20	12504	30.49756097560976	0.9993733065091011	0.3693099942333883	51.833338948858795
GOTERM_BP_FAT	GO:0051726~regulation of cell cycle	4	5.333333333333334	0.06324838401933827	E2F1, GMNN, SMC1A, MYC	59	214	13588	4.304767939173135	0.9999999999999972	0.5174404195503441	61.1039231710369
GOTERM_BP_FAT	GO:0016569~covalent chromatin modification	3	4.0	0.0632718330253414	HUWE1, EZH2, PHF15	59	96	13588	7.197033898305086	0.9999999999999972	0.5100347949888097	61.11799245577452
GOTERM_BP_FAT	GO:0006913~nucleocytoplasmic transport	3	4.0	0.0632718330253414	GM5643, NUTF2, TNPO2, HNRNPA1	59	96	13588	7.197033898305086	0.9999999999999972	0.5100347949888097	61.11799245577452
GOTERM_BP_FAT	GO:0019941~modification-dependent protein catabolic process	6	8.0	0.06502255792072799	HUWE1, KDM2A, FBXL20, DTL, DDB2, USP49	59	508	13588	2.7201387962097963	0.999999999999999	0.5125421058992938	62.15514074873316
GOTERM_BP_FAT	GO:0043632~modification-dependent macromolecule catabolic process	6	8.0	0.06502255792072799	HUWE1, KDM2A, FBXL20, DTL, DDB2, USP49	59	508	13588	2.7201387962097963	0.999999999999999	0.5125421058992938	62.15514074873316
GOTERM_BP_FAT	GO:0051169~nuclear transport	3	4.0	0.06559814662816768	GM5643, NUTF2, TNPO2, HNRNPA1	59	98	13588	7.050155655482532	0.9999999999999992	0.5085200704927593	62.49046112391174
UP_SEQ_FEATURE	domain:Helix-loop-helix motif	3	4.0	0.06852214599589013	MYC, MXD3, MYCN	64	109	16021	6.889764908256881	0.9999999984747371	0.868678912356118	61.00084888365432
SMART	SM00353:HLH	3	4.0	0.0706156113736212	MYC, MXD3, MYCN	37	111	9131	6.669831994156319	0.9334376256049859	0.59473141953757	48.18908098367897
GOTERM_CC_FAT	GO:0035097~histone methyltransferase complex	2	2.666666666666667	0.07110484477545084	EZH2, CBX5	41	23	12504	26.519618239660655	0.9997929046999297	0.3928386304252137	56.83670186970862
GOTERM_CC_FAT	GO:0034708~methyltransferase complex	2	2.666666666666667	0.07110484477545084	EZH2, CBX5	41	23	12504	26.519618239660655	0.9997929046999297	0.3928386304252137	56.83670186970862
SP_PIR_KEYWORDS	cytoplasm	17	22.666666666666664	0.07399475026628073	CDC6, GM5643, SNCB, FBXL20, DTL, HCFC1, TOPBP1, DAXX, HNRNPA1, SMC2, HUWE1, CASP8AP2, GGPS1, NUTF2, HAUS7, ASNA1, TNPO2, SIK2	66	3029	17854	1.5182428444231018	0.9998031693090075	0.33391718435002793	58.1051238396598
GOTERM_BP_FAT	GO:0016481~negative regulation of transcription	5	6.666666666666667	0.0740478951765005	RBL1, DAXX, MYC, MXD3, CBX5	59	372	13588	3.095498450883907	1.0	0.5458511190220603	67.10539610360287
GOTERM_CC_FAT	GO:0005657~replication fork	2	2.666666666666667	0.07408183429716281	RPA2, RFC1	41	24	12504	25.414634146341466	0.9998568308206208	0.38844420572396254	58.386449942892924
BIOCARTA	m_mcmPathway:CDK Regulation of DNA Replication	2	2.666666666666667	0.07535741925788232	CDC6, MCM4	14	7	1171	23.89795918367347	0.9404255538185701	0.755921229556051	50.28223608000643
INTERPRO	IPR001357:BRCT	2	2.666666666666667	0.07553889971408508	RFC1, TOPBP1	59	24	17763	25.088983050847457	0.9999986421670539	0.6756077063043755	61.71527827701602
GOTERM_BP_FAT	GO:0051603~proteolysis involved in cellular protein catabolic process	6	8.0	0.07693818325823165	HUWE1, KDM2A, FBXL20, DTL, DDB2, USP49	59	534	13588	2.5876975814130643	1.0	0.5530462187091906	68.55858139207686
GOTERM_BP_FAT	GO:0044257~cellular protein catabolic process	6	8.0	0.07838544774342437	HUWE1, KDM2A, FBXL20, DTL, DDB2, USP49	59	537	13588	2.5732411703437177	1.0	0.5530433094284112	69.26357344199197
GOTERM_BP_FAT	GO:0006333~chromatin assembly or disassembly	3	4.0	0.07888619356925805	ARID4B, MCM2, CBX5	59	109	13588	6.338672057222826	1.0	0.5485812444404339	69.50405083781585
GOTERM_MF_FAT	GO:0016887~ATPase activity	4	5.333333333333334	0.08475464504809009	DDX17, RFC1, ASNA1, RAD51	50	281	13288	3.7830604982206406	0.9999950775692694	0.42623317091390267	64.73639986620172
GOTERM_BP_FAT	GO:0030163~protein catabolic process	6	8.0	0.08789518955365858	HUWE1, KDM2A, FBXL20, DTL, DDB2, USP49	59	556	13588	2.4853066699183026	1.0	0.5827223835750758	73.54233503269008
KEGG_PATHWAY	mmu04114:Oocyte meiosis	3	4.0	0.08861734073051221	PKMYT1, SMC1A, SMC3	26	115	5738	5.757190635451506	0.9731879709114005	0.36387683625105516	56.99480421159756
GOTERM_BP_FAT	GO:0043065~positive regulation of apoptosis	4	5.333333333333334	0.089289815982336	CASP8AP2, PRKDC, CASP2, MYC	59	248	13588	3.7145981410606885	1.0	0.5820464841161108	74.12102094401189
GOTERM_BP_FAT	GO:0006355~regulation of transcription, DNA-dependent	11	14.666666666666666	0.08978646690304816	E2F1, E2F3, CSRNP1, RBL1, USP49, CTCF, DAXX, MYC, ATXN7L3, MYCN, CBX5	59	1465	13588	1.7292531960432695	1.0	0.5776005561382194	74.32424035961841
INTERPRO	IPR000953:Chromo domain	2	2.666666666666667	0.09055531238901529	ARID4B, CBX5	59	29	17763	20.76329631794272	0.9999999188063708	0.715174668285268	68.66103232753777
SMART	SM00292:BRCT	2	2.666666666666667	0.09056303061505405	RFC1, TOPBP1	37	24	9131	20.565315315315313	0.9701745934195825	0.584427698802491	57.360432736997446
GOTERM_BP_FAT	GO:0043068~positive regulation of programmed cell death	4	5.333333333333334	0.09094461545795651	CASP8AP2, PRKDC, CASP2, MYC	59	250	13588	3.6848813559322036	1.0	0.5760515104939796	74.79237472494074
KEGG_PATHWAY	mmu03430:Mismatch repair	2	2.666666666666667	0.09175239272601292	RPA2, RFC1	26	22	5738	20.062937062937063	0.9765595343878433	0.34100042103892547	58.3215218847002
GOTERM_BP_FAT	GO:0010942~positive regulation of cell death	4	5.333333333333334	0.09261237325206137	CASP8AP2, PRKDC, CASP2, MYC	59	252	13588	3.6556362658057573	1.0	0.5766641375959163	75.4525549841915
GOTERM_BP_FAT	GO:0051252~regulation of RNA metabolic process	11	14.666666666666666	0.09724093479631235	E2F1, E2F3, CSRNP1, RBL1, USP49, CTCF, DAXX, MYC, ATXN7L3, MYCN, CBX5	59	1488	13588	1.702524147986149	1.0	0.5891331790078151	77.2014284191134
GOTERM_CC_FAT	GO:0000785~chromatin	3	4.0	0.09752824135971928	ARID4B, DAXX, CBX5	41	165	12504	5.545011086474501	0.9999925033656198	0.46265139884048434	68.92918314776853
