HGNC symbol	Ensembl Gene ID
AZU1	ENSG00000172232
MTMR7	ENSG00000003987
TAX1BP3	ENSG00000213977
NAB2	ENSG00000166886
KLHL24	ENSG00000114796
DUSP2	ENSG00000158050
NECAP1	ENSG00000089818
APOL5	ENSG00000128313
CDA	ENSG00000158825
SSTR2	ENSG00000180616
BPI	ENSG00000101425
GNLY	ENSG00000115523
PINK1	ENSG00000158828
HSPBP1	ENSG00000133265
TCF3	ENSG00000071564
GRINA	ENSG00000178719
TMPO	ENSG00000120802
CLCA4	ENSG00000016602
XRCC4	ENSG00000152422
RAG1	ENSG00000166349
THSD1	ENSG00000136114
TAS2R7	ENSG00000271863
POMT1	ENSG00000130714
STARD7	ENSG00000084090
ZIM2	ENSG00000269699
RNF39	ENSG00000230467
DNAJB14	ENSG00000164031
XRCC1	ENSG00000073050
SHC2	ENSG00000129946
MFHAS1	ENSG00000147324
MYO1E	ENSG00000157483
PSMB9	ENSG00000240118
COL6A3	ENSG00000163359
PTPRC	ENSG00000262418
RASA2	ENSG00000155903
TBCC	ENSG00000124659
THUMPD2	ENSG00000138050
DDOST	ENSG00000244038
ATXN3L	ENSG00000123594
TAS2R8	ENSG00000272001
ZWINT	ENSG00000122952
C6orf25	ENSG00000224393
PISD	ENSG00000241878
PLA1A	ENSG00000144837
SH3GLB1	ENSG00000097033
NAT6	ENSG00000261871
CUL1	ENSG00000055130
ADAM28	ENSG00000042980
TRIM31	ENSG00000224168
MYOZ3	ENSG00000164591
ICAM3	ENSG00000076662
ABLIM3	ENSG00000173210
CPSF3L	ENSG00000127054
CREB3L2	ENSG00000182158
BMP1	ENSG00000168487
ATP5G1	ENSG00000159199
COX15	ENSG00000014919
NR1I3	ENSG00000143257
TAS2R9	ENSG00000272306
DHODH	ENSG00000102967
IFNGR2	ENSG00000262795
GAPDH	ENSG00000111640
MAN1A1	ENSG00000111885
REPS1	ENSG00000135597
ARMC6	ENSG00000105676
APOA4	ENSG00000110244
PRR4	ENSG00000263040
ADSL	ENSG00000239900
UBN1	ENSG00000118900
PKN1	ENSG00000123143
ZNF26	ENSG00000198393
CASP4	ENSG00000196954
NOTCH4	ENSG00000234876
KIF17	ENSG00000117245
WBSCR22	ENSG00000071462
SUMO4	ENSG00000177688
CNGA3	ENSG00000144191
LTBP3	ENSG00000168056
ZIC4	ENSG00000174963
TSEN34	ENSG00000170892
TSPY1	ENSG00000258992
PVRL2	ENSG00000130202
CHRNA4	ENSG00000101204
SPAG5	ENSG00000076382
CHMP2A	ENSG00000130724
PHF21A	ENSG00000135365
NEDD8	ENSG00000129559
ST8SIA1	ENSG00000111728
KIR3DL3	ENSG00000242019
MMP15	ENSG00000102996
BNC1	ENSG00000169594
SCN2B	ENSG00000149575
IKBKE	ENSG00000263528
PEX1	ENSG00000127980
APOC3	ENSG00000110245
CHD5	ENSG00000116254
LPA	ENSG00000198670
ST3GAL5	ENSG00000115525
RNF126	ENSG00000070423
SATL1	ENSG00000184788
DMBT1	ENSG00000187908
C14orf2	ENSG00000156411
GAGE1	ENSG00000205777
HS2ST1	ENSG00000153936
LBP	ENSG00000129988
AGPAT1	ENSG00000236873
VSNL1	ENSG00000163032
PWP1	ENSG00000136045
TRIM31	ENSG00000137397
CLDN11	ENSG00000013297
FBXO34	ENSG00000178974
CYP3A7	ENSG00000160870
NDUFA13	ENSG00000186010
CDK5	ENSG00000164885
ALG9	ENSG00000086848
MUC16	ENSG00000181143
IL1RN	ENSG00000136689
NFS1	ENSG00000244005
KLHL22	ENSG00000099910
PHACTR1	ENSG00000112137
PDIA3	ENSG00000167004
EPB41L3	ENSG00000082397
TNS3	ENSG00000136205
UBA52	ENSG00000221983
NFYB	ENSG00000120837
LMO4	ENSG00000143013
CDH9	ENSG00000113100
KLK6	ENSG00000167755
PRTN3	ENSG00000196415
SARDH	ENSG00000123453
PBX2	ENSG00000206315
ZNF197	ENSG00000186448
CKS2	ENSG00000123975
INPP4A	ENSG00000040933
CD151	ENSG00000177697
HSD17B1	ENSG00000108786
ZNF84	ENSG00000198040
RPL18A	ENSG00000105640
LMBR1L	ENSG00000139636
TBC1D2	ENSG00000095383
ZMYND11	ENSG00000260150
ZNF507	ENSG00000168813
PKP3	ENSG00000184363
SEC61B	ENSG00000106803
SLC8A1	ENSG00000183023
FKBP10	ENSG00000141756
OLFML2A	ENSG00000185585
EGFL6	ENSG00000198759
PSD4	ENSG00000125637
TUB	ENSG00000166402
HYAL1	ENSG00000262208
PPT2	ENSG00000168452
ZNF236	ENSG00000130856
HP1BP3	ENSG00000127483
ABO	ENSG00000175164
ANK2	ENSG00000145362
MRC1	ENSG00000260314
PLG	ENSG00000122194
EXOSC4	ENSG00000178896
CKAP2	ENSG00000136108
PKN2	ENSG00000065243
CUEDC1	ENSG00000180891
KCNQ2	ENSG00000075043
HLA-DRB1	ENSG00000206240
TOMM40	ENSG00000130204
LDHAL6B	ENSG00000171989
RAG2	ENSG00000175097
GABRD	ENSG00000187730
EMILIN1	ENSG00000138080
F11	ENSG00000088926
PRKAA1	ENSG00000132356
SERPINB6	ENSG00000124570
PAGE1	ENSG00000068985
TMEM50B	ENSG00000263160
GNL1	ENSG00000204590
BAG2	ENSG00000112208
EHHADH	ENSG00000113790
DLEU2	ENSG00000231607
DAP	ENSG00000112977
SLC9A3R1	ENSG00000109062
P2RX5	ENSG00000083454
SECISBP2	ENSG00000187742
DNAJC9	ENSG00000213551
RPS18	ENSG00000226225
ASB4	ENSG00000005981
HTN1	ENSG00000126550
HMBS	ENSG00000256269
SH3GL3	ENSG00000140600
WISP3	ENSG00000266134
CHKA	ENSG00000110721
SERPINB5	ENSG00000206075
RHOBTB3	ENSG00000164292
MNT	ENSG00000070444
ELMO3	ENSG00000102890
ATG3	ENSG00000144848
PAX8	ENSG00000125618
TAS2R10	ENSG00000272500
CA1	ENSG00000133742
POF1B	ENSG00000124429
VGLL1	ENSG00000102243
SHCBP1	ENSG00000171241
C19orf24	ENSG00000228300
TAS2R13	ENSG00000271813
TRPV4	ENSG00000111199
CENPE	ENSG00000138778
SLC44A4	ENSG00000204385
TAP1	ENSG00000224212
STRN	ENSG00000115808
WNT16	ENSG00000002745
MPZ	ENSG00000158887
PRKCZ	ENSG00000067606
TRIM10	ENSG00000229346
POFUT2	ENSG00000186866
LY6G6C	ENSG00000228859
LAT	ENSG00000213658
ATP6V1G2	ENSG00000234920
ZCCHC8	ENSG00000033030
MS4A12	ENSG00000071203
NAT9	ENSG00000109065
DDX21	ENSG00000165732
KRTAP1-3	ENSG00000262347
MEST	ENSG00000106484
UNC50	ENSG00000115446
PPP1R15A	ENSG00000087074
IL23A	ENSG00000110944
NELL1	ENSG00000165973
SRRM2	ENSG00000167978
KRTAP1-1	ENSG00000262808
NDST4	ENSG00000138653
GMPR2	ENSG00000100938
CTGF	ENSG00000118523
CDC42EP4	ENSG00000179604
APOA1	ENSG00000118137
TNXB	ENSG00000233323
TAS2R14	ENSG00000262103
CRYBB3	ENSG00000100053
RPL22	ENSG00000116251
GTF2B	ENSG00000137947
DDAH2	ENSG00000227317
TXNRD1	ENSG00000198431
TRAF4	ENSG00000076604
TTTY15	ENSG00000233864
CRYBB2	ENSG00000244752
LRAT	ENSG00000121207
KIR2DL4	ENSG00000189013
SLC39A4	ENSG00000147804
NFKBIL1	ENSG00000236346
KHK	ENSG00000138030
GPR107	ENSG00000148358
SYTL2	ENSG00000137501
SDHC	ENSG00000143252
MAFF	ENSG00000185022
NR4A3	ENSG00000119508
WFDC1	ENSG00000103175
CAPN7	ENSG00000131375
MGAT4A	ENSG00000071073
EZH2	ENSG00000106462
PAK2	ENSG00000180370
CA9	ENSG00000107159
DHX29	ENSG00000067248
MRPS16	ENSG00000182180
RALGDS	ENSG00000160271
PIK3R5	ENSG00000141506
ATP5A1	ENSG00000152234
USP9Y	ENSG00000114374
MLPH	ENSG00000115648
TNFSF12	ENSG00000239697
MAP3K12	ENSG00000139625
STAT2	ENSG00000170581
SLC7A2	ENSG00000003989
CCDC15	ENSG00000149548
RBM12	ENSG00000244462
B3GALT4	ENSG00000236802
TSPAN31	ENSG00000135452
RAB23	ENSG00000112210
RPL35	ENSG00000136942
GPAA1	ENSG00000197858
PLA2G12A	ENSG00000123739
KRTAP2-4	ENSG00000263091
TBC1D3	ENSG00000197681
DNAJA3	ENSG00000103423
WDR46	ENSG00000236222
GNL1	ENSG00000229470
FBXL6	ENSG00000261539
NPY2R	ENSG00000185149
EIF4G3	ENSG00000075151
MUM1	ENSG00000160953
ARHGAP17	ENSG00000140750
CBLB	ENSG00000114423
SENP5	ENSG00000119231
ZBTB3	ENSG00000185670
FBXL15	ENSG00000107872
PDK4	ENSG00000004799
L1CAM	ENSG00000198910
GCHFR	ENSG00000137880
LRRC20	ENSG00000172731
POLR2G	ENSG00000168002
FCGR2A	ENSG00000143226
PNLIP	ENSG00000175535
UROS	ENSG00000188690
IL12B	ENSG00000113302
YEATS2	ENSG00000163872
KHDRBS2	ENSG00000112232
HYAL2	ENSG00000261921
PHF1	ENSG00000239756
ACD	ENSG00000102977
ECHDC1	ENSG00000093144
HDAC3	ENSG00000171720
ICMT	ENSG00000116237
EML4	ENSG00000143924
MAN2C1	ENSG00000140400
TNKS	ENSG00000173273
FAM3C	ENSG00000196937
PRODH2	ENSG00000250799
CTSD	ENSG00000117984
IFT20	ENSG00000262866
PANK2	ENSG00000125779
RNF5	ENSG00000223767
CDH6	ENSG00000113361
RHOT1	ENSG00000126858
NDST3	ENSG00000164100
CYB561	ENSG00000008283
DSCR3	ENSG00000157538
BIN2	ENSG00000110934
TYK2	ENSG00000105397
MAP3K13	ENSG00000073803
CASP5	ENSG00000137757
HLA-DQB1	ENSG00000206237
APOM	ENSG00000224290
NFKBIL1	ENSG00000234530
MXI1	ENSG00000119950
HSPA6	ENSG00000173110
TSGA10	ENSG00000135951
MBP	ENSG00000197971
UBTF	ENSG00000108312
MGAM	ENSG00000259858
UBE2G1	ENSG00000132388
COASY	ENSG00000068120
TRIM15	ENSG00000224145
DGKA	ENSG00000065357
RPS6KB1	ENSG00000108443
PAGE4	ENSG00000101951
TRIM49	ENSG00000168930
KLK7	ENSG00000169035
SDK2	ENSG00000069188
PURA	ENSG00000185129
C6orf10	ENSG00000232106
MAPK8IP3	ENSG00000138834
FCGR3A	ENSG00000203747
RPL39	ENSG00000198918
GPR110	ENSG00000153292
GART	ENSG00000262473
HMGN3	ENSG00000118418
GPR153	ENSG00000158292
USP27X	ENSG00000242013
KTN1	ENSG00000126777
CCR9	ENSG00000173585
PARP4	ENSG00000102699
LRP5L	ENSG00000100068
LSM7	ENSG00000130332
UPF3B	ENSG00000125351
CLCN5	ENSG00000171365
INHBC	ENSG00000175189
CTNND2	ENSG00000169862
PSAP	ENSG00000197746
UBD	ENSG00000206468
RBM22	ENSG00000086589
CAMK4	ENSG00000152495
LTA	ENSG00000230279
CKM	ENSG00000104879
PRLH	ENSG00000071677
INHBE	ENSG00000139269
CLIC1	ENSG00000226248
RBM15B	ENSG00000179837
BAAT	ENSG00000136881
GRIP2	ENSG00000144596
ADRBK2	ENSG00000100077
RAB17	ENSG00000124839
PDGFRL	ENSG00000104213
VPRBP	ENSG00000145041
RNF7	ENSG00000114125
ACTR5	ENSG00000101442
PSMC2	ENSG00000161057
DVL1	ENSG00000107404
C6orf10	ENSG00000204296
GLI1	ENSG00000111087
FCGR2B	ENSG00000072694
RPL27	ENSG00000131469
TCL6	ENSG00000187621
STAT6	ENSG00000166888
TXNL4B	ENSG00000140830
LGALS9	ENSG00000168961
ACOT7	ENSG00000097021
AGER	ENSG00000231268
PPP1R16B	ENSG00000101445
ELL3	ENSG00000128886
TNFAIP1	ENSG00000262447
TTC18	ENSG00000156042
ACSL6	ENSG00000164398
MOXD1	ENSG00000079931
ADRA1B	ENSG00000170214
FOXD4L1	ENSG00000184492
CECR7	ENSG00000237438
KIF11	ENSG00000138160
TUSC2	ENSG00000262485
GPR171	ENSG00000174946
CYP21A2	ENSG00000231852
MYLPF	ENSG00000180209
PTPRZ1	ENSG00000106278
SCAP	ENSG00000114650
CA3	ENSG00000164879
DNAJC17	ENSG00000104129
LIPT1	ENSG00000144182
RNF24	ENSG00000101236
MTCH2	ENSG00000109919
GBP1	ENSG00000117228
CSNK2A2	ENSG00000070770
RAB9A	ENSG00000123595
GRIN2C	ENSG00000161509
ZNF140	ENSG00000196387
BTNL2	ENSG00000224242
LTB	ENSG00000204487
ACAD8	ENSG00000151498
TAOK3	ENSG00000135090
TRIM10	ENSG00000137394
KLK8	ENSG00000129455
TSPAN13	ENSG00000106537
GPSM3	ENSG00000206314
ARPC5L	ENSG00000136950
PEG3	ENSG00000198300
BICD1	ENSG00000151746
UBA2	ENSG00000126261
LRRFIP1	ENSG00000124831
PPP5C	ENSG00000011485
NDUFA9	ENSG00000139180
CA2	ENSG00000104267
UBE2M	ENSG00000130725
RBP3	ENSG00000107618
FCGR2C	ENSG00000244682
MAB21L1	ENSG00000180660
COX7A2L	ENSG00000115944
GOLGA1	ENSG00000136935
ECE1	ENSG00000117298
GBP2	ENSG00000162645
MKL1	ENSG00000196588
PRDM8	ENSG00000152784
SAA3P	ENSG00000166787
RMST	ENSG00000255794
APOL3	ENSG00000128284
ARL1	ENSG00000120805
TRAPPC2	ENSG00000196459
SERPINB13	ENSG00000197641
UBE2D1	ENSG00000072401
MTUS1	ENSG00000129422
AKAP4	ENSG00000147081
ETS1	ENSG00000134954
TNF	ENSG00000230108
FCGR3B	ENSG00000162747
SYNJ2BP	ENSG00000213463
AKR1D1	ENSG00000122787
HLA-DRA	ENSG00000234794
HLA-DMB	ENSG00000226264
PLAU	ENSG00000122861
LAMA4	ENSG00000263699
NIPSNAP3B	ENSG00000165028
P2RY14	ENSG00000174944
H2AFZ	ENSG00000164032
ACTL6A	ENSG00000136518
CD40LG	ENSG00000102245
LTB	ENSG00000238114
ZNF189	ENSG00000136870
RPS9	ENSG00000170889
SPAG7	ENSG00000091640
POPDC2	ENSG00000121577
SLC35F5	ENSG00000115084
GABRA2	ENSG00000151834
CDKN1C	ENSG00000129757
HES2	ENSG00000069812
EIF5A2	ENSG00000163577
EIF4EBP2	ENSG00000148730
TTC1	ENSG00000113312
PRR3	ENSG00000204576
GUCY1B2	ENSG00000123201
PRDM4	ENSG00000110851
ZNF35	ENSG00000169981
SKIV2L	ENSG00000232616
ZIC1	ENSG00000152977
ADAMTSL3	ENSG00000156218
TXNDC9	ENSG00000115514
CYP3A4	ENSG00000160868
DHX35	ENSG00000101452
FDXR	ENSG00000161513
RAD23B	ENSG00000119318
MAP3K4	ENSG00000085511
ABCC2	ENSG00000023839
CRLF1	ENSG00000006016
CUEDC2	ENSG00000107874
NOTCH4	ENSG00000206312
SCRN1	ENSG00000136193
HHEX	ENSG00000152804
NCBP2	ENSG00000114503
TRBV19	ENSG00000211746
GEMIN6	ENSG00000152147
IFI35	ENSG00000068079
GCNT3	ENSG00000140297
EIF5B	ENSG00000158417
RPS6	ENSG00000137154
AGR2	ENSG00000106541
CDC6	ENSG00000094804
SYCP2	ENSG00000196074
CHMP2B	ENSG00000083937
RIC3	ENSG00000166405
NPHS1	ENSG00000161270
HP	ENSG00000257017
PACS2	ENSG00000179364
PYY2	ENSG00000237575
RNASE4	ENSG00000258818
SERF2	ENSG00000140264
SLC4A2	ENSG00000164889
SLC2A2	ENSG00000163581
IRAK3	ENSG00000090376
OR2H2	ENSG00000206467
RPL37	ENSG00000145592
DYRK1A	ENSG00000157540
PTP4A1	ENSG00000112245
GDF2	ENSG00000128802
RAMP1	ENSG00000132329
PACS1	ENSG00000175115
ADAM21	ENSG00000139985
ACTR3	ENSG00000115091
TFG	ENSG00000114354
DHX57	ENSG00000163214
GDF10	ENSG00000107623
ABCA1	ENSG00000165029
ADAM20	ENSG00000134007
SOX14	ENSG00000168875
TRIM15	ENSG00000137384
FYCO1	ENSG00000163820
GPR87	ENSG00000138271
DUSP12	ENSG00000081721
KIAA0947	ENSG00000164151
AIPL1	ENSG00000129221
FBXL5	ENSG00000118564
CLDN18	ENSG00000066405
MAN2B1	ENSG00000104774
MED6	ENSG00000133997
MOG	ENSG00000232641
AMD1	ENSG00000123505
MMP17	ENSG00000198598
PAIP1	ENSG00000172239
MRPL49	ENSG00000149792
TNFRSF25	ENSG00000215788
LRRC8B	ENSG00000197147
P2RY13	ENSG00000181631
IMMT	ENSG00000132305
CLEC4A	ENSG00000111729
ATF6	ENSG00000118217
CDK5RAP1	ENSG00000101391
TULP2	ENSG00000104804
GOLGA4	ENSG00000144674
PRSS1	ENSG00000204983
AGTR1	ENSG00000144891
STX7	ENSG00000079950
SLC5A5	ENSG00000105641
C21orf62	ENSG00000205929
SLC6A11	ENSG00000132164
TFAP2A	ENSG00000137203
ADCY8	ENSG00000155897
SMOX	ENSG00000088826
API5	ENSG00000166181
OLIG2	ENSG00000205927
SARM1	ENSG00000267556
VENTXP1	ENSG00000259849
TM7SF3	ENSG00000064115
TINF2	ENSG00000092330
POU1F1	ENSG00000064835
COL18A1	ENSG00000182871
MAOA	ENSG00000189221
JRKL	ENSG00000183340
COX17	ENSG00000138495
ANG	ENSG00000214274
SIGIRR	ENSG00000185187
LRRC8D	ENSG00000171492
LST1	ENSG00000230791
BMPR1B	ENSG00000138696
TRIM24	ENSG00000122779
RARA	ENSG00000131759
ABCF1	ENSG00000204574
GTPBP3	ENSG00000130299
PLEKHM1	ENSG00000225190
OLFML2B	ENSG00000162745
VTN	ENSG00000262062
ATP1B3	ENSG00000069849
DDX54	ENSG00000123064
SLC25A17	ENSG00000100372
CALU	ENSG00000128595
TRIM26	ENSG00000234046
COL17A1	ENSG00000065618
SARM1	ENSG00000004139
OGN	ENSG00000106809
DCTN4	ENSG00000132912
POLE3	ENSG00000148229
TSG101	ENSG00000074319
ST8SIA4	ENSG00000113532
ALPL	ENSG00000162551
PNLIPRP1	ENSG00000187021
ARHGAP28	ENSG00000088756
RECQL4	ENSG00000160957
PRSS12	ENSG00000164099
FBXW4	ENSG00000107829
ATP6V0A2	ENSG00000185344
NOS1AP	ENSG00000198929
HBZ	ENSG00000130656
SUV420H1	ENSG00000110066
EEF1A2	ENSG00000101210
HLA-DMA	ENSG00000241394
PRR3	ENSG00000223887
SLC18A3	ENSG00000187714
HTR1F	ENSG00000179097
RPL38	ENSG00000172809
MAFB	ENSG00000204103
CDK4	ENSG00000135446
TPTE	ENSG00000166157
DDX3Y	ENSG00000067048
CHM	ENSG00000188419
CD3E	ENSG00000198851
TOP1	ENSG00000198900
PAFAH1B1	ENSG00000007168
NTN1	ENSG00000065320
AKAP7	ENSG00000118507
MAD2L1	ENSG00000164109
ARHGEF6	ENSG00000129675
PRF1	ENSG00000180644
BMP15	ENSG00000130385
GLRX	ENSG00000173221
PPY2	ENSG00000265060
MCM3	ENSG00000112118
C11orf1	ENSG00000137720
NAALAD2	ENSG00000077616
SNF8	ENSG00000159210
CASP1	ENSG00000137752
NUDT11	ENSG00000196368
STK11	ENSG00000118046
RPS25	ENSG00000262088
GTF2A2	ENSG00000140307
GTF2H4	ENSG00000236895
OGDHL	ENSG00000197444
DEPDC5	ENSG00000100150
RGL2	ENSG00000228736
ADRA1D	ENSG00000171873
ZNF576	ENSG00000124444
RNF113A	ENSG00000125352
POLDIP2	ENSG00000004142
VPS35	ENSG00000069329
SLC25A3	ENSG00000075415
ALDOB	ENSG00000136872
NDUFA1	ENSG00000125356
C7	ENSG00000112936
CRYAB	ENSG00000109846
PRNP	ENSG00000171867
BAK1	ENSG00000030110
KPNB1	ENSG00000108424
HAAO	ENSG00000162882
TAF6L	ENSG00000162227
CGGBP1	ENSG00000163320
FLI1	ENSG00000151702
TRAPPC4	ENSG00000267619
MDC1	ENSG00000228575
SLC35A5	ENSG00000138459
MTMR10	ENSG00000166912
C10orf95	ENSG00000120055
CAMTA2	ENSG00000108509
AFF3	ENSG00000144218
ST13	ENSG00000100380
CNTN5	ENSG00000149972
SLCO4C1	ENSG00000173930
TERF2	ENSG00000132604
KLHL3	ENSG00000146021
TAF4B	ENSG00000141384
MTNR1A	ENSG00000168412
C18orf25	ENSG00000152242
NUCB1	ENSG00000104805
SLC22A18AS	ENSG00000254827
TUBGCP5	ENSG00000153575
DDX18	ENSG00000088205
UAP1	ENSG00000117143
APOE	ENSG00000130203
RNASE6	ENSG00000169413
CETP	ENSG00000087237
ERCC2	ENSG00000104884
SLC13A2	ENSG00000262654
PRND	ENSG00000171864
SMNDC1	ENSG00000119953
LMO2	ENSG00000135363
SCLY	ENSG00000132330
DTNB	ENSG00000138101
ATP8B3	ENSG00000130270
GSPT2	ENSG00000189369
EPX	ENSG00000121053
FOXN1	ENSG00000264253
MAGI2	ENSG00000187391
POLDIP2	ENSG00000262464
USP29	ENSG00000131864
GLTSCR1	ENSG00000063169
AASS	ENSG00000008311
HLA-DRB4	ENSG00000227357
GUCY1A3	ENSG00000164116
FGF5	ENSG00000138675
GALNT6	ENSG00000139629
TARBP2	ENSG00000139546
SLC37A4	ENSG00000262676
RPS18	ENSG00000235650
CNN2	ENSG00000064666
RNASE1	ENSG00000129538
LECT1	ENSG00000136110
APOL2	ENSG00000128335
TPM2	ENSG00000198467
AADAC	ENSG00000114771
DDR2	ENSG00000162733
MRPL35	ENSG00000132313
DYNC1LI2	ENSG00000135720
VPS28	ENSG00000160948
RASSF2	ENSG00000101265
GLTP	ENSG00000139433
RCE1	ENSG00000173653
EPB41L4B	ENSG00000095203
FGF12	ENSG00000114279
PRPSAP2	ENSG00000141127
HBA2	ENSG00000188536
FKBP14	ENSG00000106080
SLC24A2	ENSG00000155886
CD3D	ENSG00000167286
BTNL2	ENSG00000204290
CAPN1	ENSG00000014216
AGPAT1	ENSG00000227642
BNIP2	ENSG00000140299
VAT1	ENSG00000108828
SNTA1	ENSG00000101400
SLC22A18	ENSG00000110628
CPB1	ENSG00000153002
KLF4	ENSG00000136826
GJA10	ENSG00000135355
SCHIP1	ENSG00000151967
MAGED1	ENSG00000179222
ABCF1	ENSG00000232169
CREB3L1	ENSG00000157613
IFNAR2	ENSG00000159110
EHD2	ENSG00000024422
PDZRN4	ENSG00000165966
BACH2	ENSG00000112182
PDHA1	ENSG00000131828
KCNJ6	ENSG00000157542
ELP4	ENSG00000109911
IL17RC	ENSG00000163702
PCDH8	ENSG00000136099
DSCR4	ENSG00000184029
COPG2	ENSG00000158623
SLC6A1	ENSG00000157103
TTC9	ENSG00000133985
HSD17B7	ENSG00000132196
THADA	ENSG00000115970
CX3CR1	ENSG00000168329
ITPR3	ENSG00000096433
ABI3BP	ENSG00000154175
PARD6A	ENSG00000102981
EFNA2	ENSG00000099617
HYOU1	ENSG00000262812
CHST10	ENSG00000115526
OLFM4	ENSG00000102837
APOL1	ENSG00000100342
TRAV20	ENSG00000211800
OTUB2	ENSG00000089723
RXRB	ENSG00000204231
DEK	ENSG00000124795
EMCN	ENSG00000164035
PLCG1	ENSG00000124181
MEN1	ENSG00000133895
SLC4A1	ENSG00000004939
CD3G	ENSG00000160654
KLHL4	ENSG00000102271
MAP3K9	ENSG00000006432
TEX264	ENSG00000164081
GTF2H2	ENSG00000145736
OFD1	ENSG00000046651
PFDN1	ENSG00000113068
NDUFS7	ENSG00000115286
ANXA7	ENSG00000138279
TREX1	ENSG00000213689
CYCS	ENSG00000172115
PTCRA	ENSG00000171611
CDH15	ENSG00000129910
BBX	ENSG00000114439
NUP155	ENSG00000113569
MLX	ENSG00000108788
ATP12A	ENSG00000075673
AQP4	ENSG00000171885
APOC1	ENSG00000130208
LMCD1	ENSG00000071282
PDCL3	ENSG00000115539
INSIG2	ENSG00000125629
STX8	ENSG00000170310
EMP1	ENSG00000134531
ADCK4	ENSG00000123815
LAMA1	ENSG00000101680
ALPK1	ENSG00000073331
ILKAP	ENSG00000132323
DDX24	ENSG00000089737
PDIA4	ENSG00000155660
LARS	ENSG00000133706
ADAM22	ENSG00000008277
RGS4	ENSG00000117152
DEFB126	ENSG00000125788
FOXB1	ENSG00000171956
SLC22A13	ENSG00000172940
PHF3	ENSG00000118482
EN1	ENSG00000163064
ZNF654	ENSG00000175105
HLA-F	ENSG00000234487
MTCH1	ENSG00000137409
NRXN3	ENSG00000021645
CCR8	ENSG00000179934
WWP1	ENSG00000123124
ASB7	ENSG00000183475
MBNL1	ENSG00000152601
TNIK	ENSG00000154310
NPAS2	ENSG00000170485
APOF	ENSG00000175336
SERPINB4	ENSG00000206073
MARCO	ENSG00000019169
GALR1	ENSG00000166573
TRIM26	ENSG00000137313
ULK1	ENSG00000177169
OR2W1	ENSG00000228652
PRDM5	ENSG00000138738
OR2J3	ENSG00000233636
GPX1	ENSG00000233276
OR2J2	ENSG00000226347
MSH5	ENSG00000230293
HLA-DRA	ENSG00000204287
PCDH17	ENSG00000118946
GIP	ENSG00000159224
OR5V1	ENSG00000243441
GFER	ENSG00000127554
SLC22A7	ENSG00000137204
HDAC11	ENSG00000163517
RGS5	ENSG00000143248
CYC1	ENSG00000179091
OR12D3	ENSG00000224487
MAP4K1	ENSG00000104814
OR12D2	ENSG00000233481
CBFA2T2	ENSG00000078699
PTK6	ENSG00000101213
VPS11	ENSG00000262342
STEAP3	ENSG00000115107
DGCR5	ENSG00000237517
EHMT2	ENSG00000204371
CSN3	ENSG00000171209
TGM1	ENSG00000092295
BRD2	ENSG00000230678
TIMELESS	ENSG00000111602
OMD	ENSG00000127083
CDC7	ENSG00000097046
MFI2	ENSG00000163975
TMEM2	ENSG00000135048
SMR3A	ENSG00000109208
MSRA	ENSG00000175806
HLA-DQB2	ENSG00000224305
CYP27B1	ENSG00000111012
ZNF205	ENSG00000122386
SYNGR3	ENSG00000127561
CYP3A43	ENSG00000021461
USP48	ENSG00000090686
SEZ6L	ENSG00000100095
NOL9	ENSG00000162408
C6orf10	ENSG00000206310
SMR3B	ENSG00000171201
CPA3	ENSG00000163751
ZNF264	ENSG00000083844
ZNF337	ENSG00000130684
ACTR1A	ENSG00000138107
PROL1	ENSG00000171199
UTY	ENSG00000183878
MLLT3	ENSG00000171843
UNC5C	ENSG00000182168
RPL31	ENSG00000071082
CDK7	ENSG00000262841
STYXL1	ENSG00000127952
BTNL2	ENSG00000229597
STX1A	ENSG00000106089
TFAM	ENSG00000108064
MUC7	ENSG00000171195
SLC19A1	ENSG00000173638
SLC22A14	ENSG00000144671
ASPN	ENSG00000106819
CMKLR1	ENSG00000174600
ERAL1	ENSG00000132591
DBI	ENSG00000155368
ARL6IP5	ENSG00000144746
IL12A	ENSG00000168811
PDCD5	ENSG00000105185
CDYL	ENSG00000153046
OVOL1	ENSG00000172818
TPCN1	ENSG00000186815
A4GNT	ENSG00000118017
FGL1	ENSG00000104760
HLA-DOA	ENSG00000235744
PER2	ENSG00000132326
SLC6A2	ENSG00000103546
TGFBR3	ENSG00000069702
AURKC	ENSG00000105146
ZHX3	ENSG00000174306
GLTSCR2	ENSG00000105373
ANXA2	ENSG00000182718
NNT	ENSG00000112992
ELL2	ENSG00000118985
SERPINB3	ENSG00000057149
TBC1D8	ENSG00000204634
DOC2A	ENSG00000149927
DIXDC1	ENSG00000150764
ALDH1A3	ENSG00000184254
SCTR	ENSG00000080293
GABRA4	ENSG00000109158
H2AFX	ENSG00000188486
SHARPIN	ENSG00000179526
DBR1	ENSG00000138231
TAAR5	ENSG00000135569
ATP9B	ENSG00000166377
RBMX	ENSG00000147274
SKIV2L2	ENSG00000039123
IL10RB	ENSG00000243646
TAAR2	ENSG00000146378
CFL1	ENSG00000172757
HLA-DOB	ENSG00000241386
AKAP3	ENSG00000111254
RBX1	ENSG00000100387
DPAGT1	ENSG00000172269
EPHA3	ENSG00000044524
TAF9	ENSG00000263302
KIF15	ENSG00000163808
TACC1	ENSG00000147526
