RPS13	ENSG00000110700
KIAA0672	NA
TFDP1	ENSG00000198176
MRPS2	ENSG00000122140
MGC2752	NA
PDIA4	ENSG00000155660
PGPEP1	ENSG00000130517
LHFPL2	ENSG00000145685
MBD4	ENSG00000129071
HSPH1	ENSG00000120694
UBXD1	NA
MGC52022	NA
C1QBP	ENSG00000108561
BCAT2	ENSG00000105552
FKSG49	NA
HNRPUL2	NA
NANS	ENSG00000095380
PLCB3	ENSG00000149782
G10	NA
CBX1	ENSG00000108468
BLM	ENSG00000197299
TINF2	ENSG00000092330
ICF45	NA
SPAG9	ENSG00000008294
KLF7	ENSG00000118263
RHOT2	ENSG00000140983
MRPL40	ENSG00000185608
ENTPD4	ENSG00000197217
CDKN1B	ENSG00000111276
FLJ35348	NA
C6orf84	NA
CAPN7	ENSG00000131375
CDCA4	ENSG00000170779
ZNF593	ENSG00000142684
ZNF297	NA
ECHDC1	ENSG00000093144
LPIN1	ENSG00000134324
NUDT4	ENSG00000173598
ZHX3	ENSG00000174306
ZCSL3	NA
RIOK2	ENSG00000058729
PLXNA1	ENSG00000114554
MAK10	NA
ARHGEF18	ENSG00000104880
MID2	ENSG00000080561
HIRIP5	NA
E4F1	ENSG00000167967
TPD52L2	ENSG00000101150
RARS	ENSG00000113643
MGC3196	NA
TMEM53	ENSG00000126106
MSRA	ENSG00000175806
SECISBP2	ENSG00000187742
EBAG9	ENSG00000147654
DHODH	ENSG00000102967
APEX2	ENSG00000169188
NSF	ENSG00000073969
CSNK1G1	ENSG00000169118
RANGNRF	NA
GPATC3	NA
TFB2M	ENSG00000162851
PRKCABP	NA
RBL2	ENSG00000103479
C21orf6	NA
RDH14	ENSG00000240857
TRIM8	ENSG00000171206
ELAC2	ENSG00000006744
JARID1B	NA
C9orf7	NA
SCARB2	ENSG00000138760
ALDH3A2	ENSG00000072210
ACP6	ENSG00000265277
ARL2	ENSG00000213465
FVT1	NA
ZNF586	ENSG00000083828
JMJD2C	NA
NTE	NA
CORO1C	ENSG00000110880
TCEAL1	ENSG00000172465
ARHGEF1	ENSG00000076928
CORO1B	ENSG00000172725
SACM1L	ENSG00000211456
RAB6IP2	NA
WARS	ENSG00000140105
ABR	ENSG00000159842
DRG2	ENSG00000108591
NEK3	ENSG00000136098
SMARCA4	ENSG00000127616
TMEM34	NA
KATNB1	ENSG00000268329
TNKS2	ENSG00000107854
RNF123	ENSG00000164068
PIP5K1C	ENSG00000186111
RNF113A	ENSG00000125352
TSTA3	ENSG00000104522
FBXL14	ENSG00000171823
SORBS3	ENSG00000120896
XRCC2	ENSG00000196584
EIF3S1	NA
DDX39	NA
TFAM	ENSG00000108064
MAK3	NA
ATAD3A	ENSG00000197785
ACAD8	LRG_448
RPRC1	NA
MBD5	ENSG00000204406
EP300	ENSG00000100393
KIAA0427	NA
MRPS11	ENSG00000181991
ARMC8	ENSG00000114098
KIAA0894	NA
U1SNRNPBP	NA
TBX6	ENSG00000149922
ANKRD28	ENSG00000206560
NDUFS1	ENSG00000023228
FPGS	ENSG00000136877
ISOC2	ENSG00000063241
GNS	ENSG00000135677
USP13	ENSG00000058056
ERCC1	ENSG00000012061
GCLC	ENSG00000001084
PHF15	ENSG00000043143
KIAA0284	NA
TMEM63A	ENSG00000196187
CNOT2	ENSG00000111596
CHCHD7	ENSG00000170791
TRIM21	ENSG00000132109
HIF1A	ENSG00000100644
APRIN	NA
TRIM24	ENSG00000122779
CRI1	NA
LOC339047	NA
PPP1R2	ENSG00000184203
FECH	ENSG00000066926
PTK9L	NA
ERBB2IP	ENSG00000112851
TK2	ENSG00000166548
MRPS33	ENSG00000090263
PRSS22	ENSG00000005001
MINA	ENSG00000170854
DECR2	ENSG00000242612
PHTF1	ENSG00000116793
CDA08	NA
C6orf62	ENSG00000112308
C22orf9	NA
DISC1	ENSG00000162946
MKL1	ENSG00000196588
MBTPS2	ENSG00000012174
HD	NA
SERPINB6	ENSG00000124570
ATP2B4	ENSG00000058668
TXNRD2	LRG_417
ACAT1	ENSG00000075239
TMEM49	NA
LANCL2	ENSG00000132434
CCDC25	ENSG00000147419
DDX28	ENSG00000182810
MRPL34	ENSG00000130312
GIYD2	NA
ZDHHC18	ENSG00000204160
MYCBP	ENSG00000214114
ATRX	ENSG00000268946
TARS	ENSG00000113407
ATN1	ENSG00000268872
TSPAN14	ENSG00000108219
UBA2	ENSG00000126261
MOCS1	ENSG00000124615
FLJ12975	NA
EIF2AK2	ENSG00000055332
HLRC1	NA
ERCC5	LRG_464
USP19	ENSG00000172046
LKAP	NA
SPTAN1	ENSG00000197694
ZNF306	NA
WDR4	ENSG00000160193
TRAPPC6A	ENSG00000007255
MAP3K9	ENSG00000006432
ALAD	ENSG00000148218
GABPB2	ENSG00000143458
HLA-E	ENSG00000233904
MEF2A	ENSG00000068305
RHEB	ENSG00000106615
ABHD11	ENSG00000262947
NEK9	ENSG00000119638
ADAM10	ENSG00000137845
HERC2	ENSG00000128731
RHOQ	ENSG00000119729
ARL6IP	NA
URG4	NA
IQGAP1	ENSG00000140575
CARD4	NA
PTPN4	ENSG00000088179
ABI1	ENSG00000136754
CCDC22	ENSG00000268501
PIG8	NA
MED28	ENSG00000118579
GNE	ENSG00000159921
AKR7A3	ENSG00000162482
LDB1	ENSG00000198728
LOC92249	NA
C11orf24	ENSG00000171067
C5orf14	NA
ROBO4	ENSG00000154133
GlyBP	NA
CRSP3	NA
ZNF20	ENSG00000132010
ING2	ENSG00000168556
METTL5	ENSG00000138382
ING3	ENSG00000071243
ANAPC2	ENSG00000176248
PIK3R2	ENSG00000105647
PITPNC1	ENSG00000154217
NOD9	NA
APBB2	ENSG00000163697
TRIM66	ENSG00000166436
TBX10	ENSG00000167800
HIP1R	ENSG00000130787
SREBF2	ENSG00000198911
LPP	ENSG00000145012
TULP4	ENSG00000130338
UBE2E3	ENSG00000170035
UBE2H	ENSG00000186591
CAPN1	ENSG00000014216
IHPK1	NA
NUP188	ENSG00000095319
S100PBPR	NA
RECQL5	ENSG00000108469
BBX	ENSG00000114439
POLR2A	ENSG00000181222
UPF3B	ENSG00000125351
GPR27	ENSG00000170837
ZNF34	ENSG00000196378
POLG2	ENSG00000262917
C15orf25	NA
MGC11266	NA
PRAMEF11	ENSG00000204513
EXOSC2	ENSG00000130713
ACVR2B	ENSG00000114739
HTR4	ENSG00000164270
TUB	ENSG00000166402
ACTR8	ENSG00000113812
GNA12	ENSG00000146535
PSMD5	ENSG00000095261
CD40	LRG_40
ACOX3	ENSG00000087008
PAOX	ENSG00000148832
ULK2	ENSG00000083290
SULT1A1	ENSG00000196502
WRB	ENSG00000182093
HNRPH2	NA
NME1	ENSG00000239672
COX17	ENSG00000138495
PLK3	ENSG00000173846
MGST3	ENSG00000143198
GTPBP4	ENSG00000107937
DOCK6	ENSG00000130158
TNK1	ENSG00000174292
UNC5B	ENSG00000107731
GYG	NA
NUP50	ENSG00000093000
ZNF287	ENSG00000141040
FLJ22794	NA
TCERG1	ENSG00000113649
RBM15	ENSG00000162775
FLJ20272	NA
TIMM17B	ENSG00000267823
SELT	NA
SCAMP1	ENSG00000085365
LMNA	ENSG00000160789
MT	NA
FAM60A	ENSG00000139146
KIAA0063	NA
DRAP1	ENSG00000175550
LOC400506	NA
NUCB1	ENSG00000104805
GLT8D1	ENSG00000016864
NUP43	ENSG00000120253
TMEM33	ENSG00000109133
TOB2	ENSG00000183864
LSM8	NA
XPA	LRG_471
PPP1CA	ENSG00000172531
STOML1	ENSG00000067221
SMUG1	ENSG00000123415
MGC32020	NA
AP3M2	ENSG00000070718
MCL1	ENSG00000143384
CIT	ENSG00000122966
C14orf147	NA
ARHGDIA	ENSG00000141522
XRCC1	ENSG00000073050
NFYB	ENSG00000120837
PEX12	ENSG00000108733
COPG	NA
HSPBP1	ENSG00000133265
HIPK1	ENSG00000163349
MAGED2	ENSG00000102316
SEL1L	ENSG00000071537
USF2	ENSG00000105698
ZYG11BL	NA
PEX3	ENSG00000034693
C1QDC1	NA
KIF13B	ENSG00000197892
UCHL3	ENSG00000118939
MGC21688	NA
HIPK2	ENSG00000064393
FLJ11506	NA
ODC1	ENSG00000115758
RXRA	ENSG00000269571
HNRPM	NA
NUTF2	ENSG00000102898
DAP	ENSG00000112977
PORCN	ENSG00000268138
RAG1AP1	NA
C14orf87	NA
AMPD3	ENSG00000133805
ARMC1	ENSG00000104442
SUV39H1	ENSG00000268740
CETN2	ENSG00000268512
PSKH1	ENSG00000159792
DNMBP	ENSG00000107554
ZCCHC4	ENSG00000168228
KIAA0495	NA
FRS3	ENSG00000137218
GPSN2	NA
BRP44L	NA
SS18	ENSG00000141380
SLC25A22	ENSG00000177542
TXNDC	NA
FLJ12986	NA
ADARB1	ENSG00000197381
EGLN1	ENSG00000135766
GMPS	ENSG00000163655
C16orf49	NA
HCFC2	ENSG00000111727
VAT1	ENSG00000108828
KCTD5	ENSG00000167977
UGCGL1	NA
LETM1	ENSG00000168924
ZNF14	ENSG00000105708
EMD	ENSG00000268557
ZNF271	ENSG00000257267
ARFIP1	ENSG00000164144
ZF	NA
GRN	ENSG00000030582
CCBL1	ENSG00000171097
MPPE1	ENSG00000154889
LOC57146	NA
GSPT1	ENSG00000103342
KIAA1280	NA
APRT	ENSG00000198931
HADHSC	NA
FTO	ENSG00000140718
RAB11B	ENSG00000185236
ELL	ENSG00000105656
FLJ20010	NA
TAZ	ENSG00000102125
USP1	ENSG00000162607
KIAA0261	NA
ZNF609	ENSG00000180357
HNRPH1	NA
DHX9	ENSG00000135829
GTF2H5	LRG_469
PKD1	ENSG00000008710
EXOSC4	ENSG00000178896
DKFZP434H132	NA
TGIF2	ENSG00000118707
PJA2	ENSG00000198961
RREB1	ENSG00000124782
SLC25A32	ENSG00000164933
PCTK2	NA
ANKRD26	ENSG00000107890
SMARCA5	ENSG00000153147
PGM1	ENSG00000079739
C8orf1	NA
SOCS5	ENSG00000171150
BPY2IP1	NA
TFRC	ENSG00000072274
PTPN11	ENSG00000179295
SPATA20	ENSG00000006282
NASP	ENSG00000132780
COPS7B	ENSG00000144524
PAFAH1B2	ENSG00000168092
PMS2L2	NA
KIAA0515	NA
HMG20A	ENSG00000140382
PURA	ENSG00000185129
MGC3032	NA
UBPH	NA
LOC155060	NA
TULP3	ENSG00000078246
ANXA5	ENSG00000164111
PPM1G	ENSG00000115241
CRNKL1	ENSG00000101343
AACS	ENSG00000081760
C14orf1	ENSG00000133935
ZNF131	ENSG00000172262
PCYT1A	ENSG00000161217
C6orf69	NA
CREB3L2	ENSG00000182158
ANKS1	NA
EXTL2	ENSG00000162694
ZNF143	ENSG00000166478
C15orf38	ENSG00000242498
DBP	ENSG00000105516
NCR2	ENSG00000096264
HDAC2	ENSG00000196591
TADA2L	NA
TBPIP	NA
PVR	ENSG00000073008
LSM7	ENSG00000130332
OR1E1	ENSG00000180016
STX17	ENSG00000136874
HEBP1	ENSG00000013583
TTC10	NA
ZNF22	ENSG00000165512
INPP5A	ENSG00000068383
DNASE1L1	ENSG00000267993
MANBA	ENSG00000109323
ZNF11B	NA
DOCK1	ENSG00000150760
MSRB2	ENSG00000148450
PELP1	ENSG00000141456
AD7C-NTP	NA
SMURF1	ENSG00000198742
FBXO31	ENSG00000103264
LOC441347	NA
C14orf45	NA
CLK4	ENSG00000113240
SPFH2	NA
GALC	ENSG00000054983
ZNF331	ENSG00000130844
DDHD2	ENSG00000085788
OGG1	ENSG00000114026
FLJ11200	NA
MGC12760	NA
GGTLA4	NA
RAI17	NA
ACADS	ENSG00000122971
FURIN	ENSG00000140564
CENPC1	NA
PRKCE	ENSG00000171132
TXNDC5	ENSG00000239264
PPRC1	ENSG00000148840
PEX7	ENSG00000112357
GPS1	ENSG00000169727
MADCAM1	ENSG00000099866
ELOVL5	ENSG00000012660
C14orf101	NA
PPAT	ENSG00000128059
IDH3A	ENSG00000166411
ANKFY1	ENSG00000185722
SDCCAG3	ENSG00000165689
SLC43A1	ENSG00000149150
GNA11	ENSG00000088256
NDFIP1	ENSG00000131507
MTR	ENSG00000116984
C5orf4	NA
ZNF197	ENSG00000186448
IRAK4	LRG_75
LCMT2	ENSG00000168806
ARL6IP2	NA
TCF1	NA
OAT	ENSG00000065154
ASH1L	ENSG00000116539
BTN2A2	ENSG00000124508
APBB3	ENSG00000113108
NARG1L	NA
SMARCD2	ENSG00000108604
MID1IP1	ENSG00000165175
KIAA0182	NA
FDX1	ENSG00000137714
UNC84B	NA
BCAP29	ENSG00000075790
GLE1L	NA
CD47	ENSG00000196776
GNB5	ENSG00000069966
SMAD3	ENSG00000166949
SEC14L1	ENSG00000129657
MAP2K7	ENSG00000076984
SRM	ENSG00000116649
RANBP2L1	NA
ACTN4	ENSG00000130402
TXNDC13	NA
PHLDB1	ENSG00000019144
KCNMB4	ENSG00000135643
SEC24A	ENSG00000113615
ZNF219	ENSG00000165804
SLC35A1	ENSG00000164414
WDR50	NA
ARNT	ENSG00000143437
SERF1A	ENSG00000172058
FLJ14001	NA
LOC440354	NA
LOC441135	NA
DKFZP564D172	NA
PVT1	ENSG00000249859
VPS13C	ENSG00000129003
GLTSCR1	ENSG00000063169
GALNT2	ENSG00000143641
MCM3	ENSG00000112118
MAP2K2	ENSG00000126934
HK1	LRG_365
C16orf33	NA
CCNL1	ENSG00000163660
RAD52	ENSG00000002016
INPP1	ENSG00000151689
LOC283345	NA
SSX2IP	ENSG00000117155
FLJ45850	NA
MAP2K3	ENSG00000034152
CNN2	ENSG00000064666
C8orf33	ENSG00000182307
CD99	ENSG00000002586
CARF	ENSG00000138380
ZSCAN5	NA
COMMD10	ENSG00000145781
CHAF1A	ENSG00000167670
TTC13	ENSG00000143643
MDS032	NA
MCFD2	ENSG00000180398
FLJ10803	NA
ATG7	ENSG00000197548
CRLF3	ENSG00000176390
CASP3	ENSG00000164305
TMEM1	NA
OR7E47P	ENSG00000257542
NUMB	ENSG00000133961
AGC1	NA
AES	ENSG00000104964
ZNF211	ENSG00000121417
CLPP	ENSG00000125656
MCAM	ENSG00000076706
FLJ00060	NA
CDC42EP4	ENSG00000179604
ZNF193	NA
NSDHL	ENSG00000269336
FLJ11029	NA
FMO4	ENSG00000076258
ABHD14A	ENSG00000248487
FLJ23436	NA
FLJ21901	NA
CYB5R1	ENSG00000159348
APAF1	ENSG00000120868
GYS1	ENSG00000104812
C9orf114	ENSG00000198917
Mar-06	NA
JARID1A	NA
NR2C1	ENSG00000120798
CSK	ENSG00000103653
ATP9B	ENSG00000166377
ARFGAP3	ENSG00000242247
E2F4	ENSG00000205250
OR7E156P	ENSG00000215430
PPID	ENSG00000171497
PPP1R13B	ENSG00000088808
MTX2	ENSG00000128654
DHX29	ENSG00000067248
SLC39A7	ENSG00000227402
PRKRIP1	ENSG00000128563
RNGTT	ENSG00000111880
APEH	ENSG00000164062
C9orf82	NA
GAB1	ENSG00000109458
PGF	ENSG00000119630
KIAA0953	NA
CPT1A	ENSG00000110090
QKI	ENSG00000112531
FBXL5	ENSG00000118564
RPL5	ENSG00000122406
ABHD2	ENSG00000140526
MAN2B2	ENSG00000013288
DERL1	ENSG00000136986
MYH9	ENSG00000100345
DNAJC9	ENSG00000213551
SEMA6A	ENSG00000092421
IKBKAP	LRG_251
OSBPL10	ENSG00000144645
ZNF187	NA
KLHDC4	ENSG00000104731
USP12	ENSG00000152484
CAPN2	ENSG00000162909
PHF21A	ENSG00000135365
SESN1	ENSG00000080546
IER5	ENSG00000162783
DHX38	ENSG00000140829
PCNXL2	ENSG00000135749
LUZP1	ENSG00000169641
ALS2CL	ENSG00000178038
HSD17B8	ENSG00000228357
GARNL1	NA
TRADD	ENSG00000102871
GPR4	ENSG00000177464
NARG2	ENSG00000128915
TESK2	ENSG00000070759
FOXO3A	NA
ATP8B2	ENSG00000143515
GPLD1	ENSG00000112293
NAB1	ENSG00000138386
SOX15	ENSG00000129194
ARMC7	ENSG00000125449
C1orf89	NA
CBR4	ENSG00000145439
BET1	ENSG00000105829
RCD-8	NA
TCF3	ENSG00000071564
NIF3L1	ENSG00000196290
CMKLR1	ENSG00000174600
PRNP	ENSG00000171867
C20orf44	NA
GPR153	ENSG00000158292
HECW1	ENSG00000002746
CCT6B	ENSG00000132141
SNRPD1	ENSG00000167088
ZNF614	ENSG00000142556
GSTM2	ENSG00000213366
ICA1	ENSG00000003147
ZNFN1A4	NA
KIAA0492	NA
C16orf28	NA
HECA	ENSG00000112406
KIAA1467	ENSG00000084444
ZFP161	NA
GP1BA	ENSG00000185245
BOP1	ENSG00000170727
SLC22A14	ENSG00000144671
ZNF200	ENSG00000010539
RPS8	ENSG00000142937
CDC2L6	NA
CACNA1I	ENSG00000100346
CYP2D6	ENSG00000272532
PFN1	ENSG00000108518
LGALS8	ENSG00000116977
DNAH3	ENSG00000158486
HPCAL1	ENSG00000115756
ASL	ENSG00000126522
UBE1C	NA
PRPF3	ENSG00000265228
USP8	ENSG00000138592
CEBPZ	ENSG00000115816
SMARCA2	ENSG00000080503
EDAR	ENSG00000135960
MOCS3	ENSG00000124217
MGC13098	NA
ABCG4	ENSG00000172350
RBM14	ENSG00000239306
NME4	ENSG00000103202
SEC23B	ENSG00000101310
SHMT2	ENSG00000182199
ABO	ENSG00000175164
CIC	ENSG00000079432
AUH	ENSG00000148090
CYP2C9	ENSG00000138109
C7orf25	ENSG00000136197
FAM62A	NA
IFITM2	ENSG00000185201
LOC401210	NA
ZNF307	NA
HCRP1	NA
FUT2	ENSG00000176920
DHPS	ENSG00000095059
RGS3	ENSG00000138835
LRCH4	ENSG00000077454
PRO1843	NA
COIL	ENSG00000121058
MOAP1	ENSG00000165943
KIAA1718	NA
FLJ10379	NA
PDE4C	ENSG00000105650
MASP2	ENSG00000009724
CFLAR	ENSG00000003402
C6orf35	NA
CHST10	ENSG00000115526
VPS13B	ENSG00000132549
MRLC2	NA
POLE	ENSG00000177084
UBXD6	NA
PSG1	ENSG00000231924
RNPEPL1	ENSG00000142327
SC5DL	NA
C5orf5	NA
TXNRD3	ENSG00000197763
SNAPC4	ENSG00000165684
CIZ1	ENSG00000148337
HBS1L	ENSG00000112339
ADRBK1	ENSG00000173020
D15F37	NA
RFXANK	LRG_102
PCDHGB5	NA
RCC1	ENSG00000180198
ATP13A3	ENSG00000133657
C9orf132	NA
MBNL1	ENSG00000152601
MGC3265	NA
PKN2	ENSG00000065243
ATF7IP	ENSG00000171681
ZDHHC4	ENSG00000136247
USP22	ENSG00000124422
IQWD1	NA
GSTM1	ENSG00000134184
SCO2	ENSG00000130489
RAD51L3	NA
ATP6V0A2	ENSG00000185344
CLPTM1	ENSG00000104853
CRSP6	NA
C8orf60	NA
TRMT1	ENSG00000104907
ANAPC13	ENSG00000129055
ZNF117	ENSG00000152926
RBKS	ENSG00000171174
CANT1	ENSG00000171302
C8orf32	NA
SSH3	ENSG00000172830
TMCC1	ENSG00000172765
ZNF264	ENSG00000083844
C1orf166	NA
PIP5K2C	NA
KCNJ14	ENSG00000182324
RANGAP1	ENSG00000100401
PAXIP1	ENSG00000157212
UBL3	ENSG00000122042
PPIF	ENSG00000108179
FLJ21127	NA
TRIM10	ENSG00000227472
IL9R	ENSG00000124334
CYP3A4	ENSG00000160868
KIAA1109	ENSG00000138688
TCEB1	ENSG00000154582
B4GALT1	ENSG00000086062
EIF4G3	ENSG00000075151
PRR5	ENSG00000186654
LOH11CR2A	NA
SLC2A1	ENSG00000117394
FADD	LRG_228
KRIT1	ENSG00000001631
CCRK	NA
MGC4771	NA
SOCS3	ENSG00000184557
DEXI	ENSG00000182108
SEH1L	ENSG00000085415
SLC9A8	ENSG00000197818
PB1	NA
PGGT1B	ENSG00000164219
HSPE1	ENSG00000115541
ITGB3BP	ENSG00000142856
RHOF	ENSG00000139725
GFOD1	ENSG00000145990
PRKAB2	ENSG00000266198
WSB1	ENSG00000109046
ZSWIM1	ENSG00000168612
ZNF409	NA
NR3C1	ENSG00000113580
ANXA2	ENSG00000182718
C1GALT1C1	ENSG00000171155
LOC388906	NA
ADRBK2	ENSG00000100077
NOC3L	ENSG00000173145
PTHB1	NA
MYO1E	ENSG00000157483
ZC3H3	ENSG00000014164
ZNF224	ENSG00000267680
CHKB	ENSG00000100288
AKT1	ENSG00000142208
ATF6	ENSG00000118217
ACO2	ENSG00000100412
AHI1	ENSG00000135541
SH3BGRL	ENSG00000131171
GART	ENSG00000159131
SMARCA3	NA
ARF4L	NA
CD59	LRG_41
FXR2	LRG_285
HSF1	ENSG00000185122
NMB	ENSG00000197696
NT5C2	ENSG00000076685
ANP32E	ENSG00000143401
AAK1	ENSG00000115977
SNAPC3	ENSG00000164975
SIGLEC6	ENSG00000105492
CAND1	ENSG00000111530
DKFZP566N034	NA
NUP62	ENSG00000213024
PLEKHM2	ENSG00000116786
RNF138	ENSG00000134758
FLJ20512	NA
SLC25A12	ENSG00000115840
OPRS1	NA
TBCE	ENSG00000116957
DLG1	ENSG00000075711
FNTB	ENSG00000257365
HSPA14	ENSG00000187522
CUL3	ENSG00000036257
KCNB2	ENSG00000182674
PEA15	ENSG00000162734
TPRT	NA
ZNF85	ENSG00000105750
SUV420H1	ENSG00000110066
IPO4	ENSG00000196497
ABCB7	ENSG00000131269
TRIO	ENSG00000038382
RPS6KA3	ENSG00000177189
TARBP1	ENSG00000059588
PORIMIN	NA
THUMPD1	ENSG00000066654
KEAP1	ENSG00000079999
TMED1	ENSG00000099203
YTHDC2	ENSG00000047188
TANK	ENSG00000136560
PRKACA	ENSG00000072062
POMT1	ENSG00000130714
TRIM37	ENSG00000108395
OACT2	NA
PTPRA	ENSG00000132670
PDIA5	ENSG00000065485
NPM3	ENSG00000107833
SIRT1	ENSG00000096717
EHD4	ENSG00000103966
PVRL2	ENSG00000130202
AVPR1A	ENSG00000166148
NUBP2	ENSG00000095906
ACAD10	ENSG00000111271
C1orf159	ENSG00000131591
EPM2A	ENSG00000112425
AMPD2	ENSG00000116337
CTSB	ENSG00000164733
PNPLA2	ENSG00000177666
CASK	ENSG00000147044
ENTPD6	ENSG00000197586
CHPF	ENSG00000123989
NDST1	ENSG00000070614
RGS19	ENSG00000171700
B3GNT6	ENSG00000198488
YEATS2	ENSG00000163872
RRBP1	ENSG00000125844
VARS	ENSG00000231945
POLR3K	ENSG00000161980
KIAA0470	NA
PTD015	NA
CCRN4L	ENSG00000151014
PPP3R1	ENSG00000221823
KIF3C	ENSG00000084731
DCUN1D2	ENSG00000150401
MAPKAPK3	ENSG00000114738
HOXC4	ENSG00000198353
RANBP6	ENSG00000137040
GLP1R	ENSG00000112164
LOC283677	NA
LPHN1	ENSG00000072071
ACOT9	ENSG00000123130
HUWE1	ENSG00000086758
KIAA0133	NA
KIAA1217	ENSG00000120549
USP3	ENSG00000140455
IFNAR2	ENSG00000159110
WBSCR20C	NA
OSTF1	ENSG00000134996
STAT1	LRG_111
NPHP4	ENSG00000131697
CHSY1	ENSG00000131873
NFKBIA	LRG_89
WFS1	ENSG00000109501
SYNGR2	ENSG00000108639
BAIAP2	ENSG00000175866
GTSE1	ENSG00000075218
HIG2	NA
pp9099	NA
FRAT1	ENSG00000165879
OACT5	NA
KLHL24	ENSG00000114796
MMRP19	NA
MICA	ENSG00000204520
BTAF1	ENSG00000095564
GLS	ENSG00000115419
SH3MD1	NA
DIO2	ENSG00000211448
CREBL1	NA
RPL21	ENSG00000122026
GAA	ENSG00000171298
ATPBD1C	NA
FLJ10287	NA
RCOR1	ENSG00000089902
TAF2	ENSG00000064313
PPM1F	ENSG00000100034
FUT1	ENSG00000174951
SCPEP1	ENSG00000121064
Cep192	NA
C1orf48	NA
DRD2	ENSG00000149295
PRPF38B	ENSG00000134186
CPD	ENSG00000108582
ACSL3	ENSG00000123983
LOC283970	NA
TU12B1-TY	NA
ADAM19	ENSG00000135074
LOC90355	NA
PARD6A	ENSG00000102981
C22orf19	NA
ASCC3L1	NA
C1orf135	NA
AMT	ENSG00000145020
GRINA	ENSG00000178719
SENP5	ENSG00000119231
POLR2D	ENSG00000144231
TOM1	ENSG00000100284
NP	NA
EDA	ENSG00000158813
MTMR2	LRG_257
CD209	ENSG00000090659
EPHB2	ENSG00000133216
DCLRE1C	LRG_54
RCE1	ENSG00000173653
RBBP8	ENSG00000101773
C16orf24	NA
ING4	ENSG00000111653
ABCD1	ENSG00000268757
ZNF232	ENSG00000167840
FLJ35429	NA
DNAJA4	ENSG00000140403
ADD3	ENSG00000148700
DDB2	LRG_467
DDX19B	ENSG00000157349
MSTO1	ENSG00000125459
THRA	ENSG00000126351
FOXP1	ENSG00000114861
OPRL1	ENSG00000125510
CSNK1E	ENSG00000213923
SCCPDH	ENSG00000143653
BTNL3	ENSG00000168903
TARSL1	NA
SNAPC2	ENSG00000104976
ZXDA	ENSG00000198205
SITPEC	NA
PGRMC2	ENSG00000164040
FLJ20345	NA
PLXNA3	ENSG00000268862
HDAC1	ENSG00000116478
CSPP1	ENSG00000104218
PPIL2	ENSG00000100023
ATM	LRG_135
GIPC1	ENSG00000123159
SLC37A4	LRG_187
RPS6KA5	ENSG00000100784
CENPJ	ENSG00000151849
MRC2	ENSG00000011028
WDR44	ENSG00000131725
ERCC6	LRG_465
YAF2	ENSG00000015153
LEPR	ENSG00000116678
LITAF	LRG_253
HLA-F	ENSG00000204642
USP24	ENSG00000162402
CEBPB	ENSG00000172216
KCNJ5	LRG_333
C1orf66	NA
Cep70	NA
TRAM2	ENSG00000065308
NRBP	NA
CHMP6	ENSG00000176108
PHACTR4	ENSG00000204138
TAF5	ENSG00000148835
SIGIRR	ENSG00000185187
ABHD5	ENSG00000011198
PHLDA3	ENSG00000174307
C6orf66	NA
ENOSF1	ENSG00000132199
TUBB3	ENSG00000198211
LOC93081	NA
FAM50B	ENSG00000145945
SLC25A16	ENSG00000122912
PIAS3	ENSG00000263461
GFPT1	ENSG00000198380
NR1H2	ENSG00000131408
SEPW1	ENSG00000178980
RTCD1	NA
C8orf51	NA
LAMP2	ENSG00000005893
C1orf9	NA
RKHD1	NA
PSEN2	ENSG00000143801
EBP	ENSG00000268394
SEMA4G	ENSG00000095539
TMEM23	NA
MYO15A	ENSG00000091536
EIF4E	ENSG00000151247
CYB561	ENSG00000008283
NRP2	ENSG00000118257
ESR2	ENSG00000140009
EEF1E1	ENSG00000124802
FUT6	ENSG00000156413
PPAN	ENSG00000130810
NOL6	ENSG00000165271
BBS4	ENSG00000140463
AKT2	ENSG00000105221
ROCK1	ENSG00000067900
CROCC	ENSG00000058453
LOC201229	NA
USP52	NA
RNF141	ENSG00000110315
TIMELESS	ENSG00000111602
TIAF1	ENSG00000221995
STS	ENSG00000101846
DUSP3	ENSG00000108861
ABCA2	ENSG00000107331
BOLA2	ENSG00000183336
RRS1	ENSG00000179041
ZNF154	ENSG00000179909
XPOT	ENSG00000184575
ALG3	ENSG00000214160
RAP2C	ENSG00000123728
PIGH	ENSG00000100564
CTNNA1	ENSG00000044115
RAD50	ENSG00000113522
PRDX4	ENSG00000123131
WDR7	ENSG00000091157
LMAN2L	ENSG00000114988
C18orf25	ENSG00000152242
NELF	NA
KIAA0738	NA
MRPL17	ENSG00000158042
MGAT2	ENSG00000168282
CD3EAP	ENSG00000117877
DDT	ENSG00000099977
SMU1	ENSG00000122692
CYP2A6	ENSG00000255974
REXO4	ENSG00000148300
GCSH	ENSG00000140905
SECP43	NA
POLR2J2	ENSG00000267645
YIPF2	ENSG00000130733
NT5C	ENSG00000125458
KIAA0090	NA
EXOC4	ENSG00000131558
MED31	ENSG00000108590
PAK4	ENSG00000130669
NUP88	ENSG00000108559
CPNE7	ENSG00000178773
RPP40	ENSG00000124787
EXOSC5	ENSG00000077348
DNMT1	LRG_362
FLJ20125	NA
Mar-07	NA
C21orf45	NA
RCN2	ENSG00000117906
FLJ13868	NA
SMC5L1	NA
