Identifiers	mean	sd	median	minimum	maximum	n	Mean/StdDev	CV	MFC
EBAG9	8.00	0.93	8.04	2.82	11.82	13629	8.60	11.63	4.19
DHODH	6.30	0.73	6.30	2.38	9.81	13629	8.60	11.63	4.13
APEX2	7.11	0.83	7.17	2.61	10.88	13629	8.60	11.63	4.17
NSF	8.72	1.01	8.65	2.51	13.47	13629	8.60	11.63	5.36
CSNK1G1	5.48	0.64	5.49	2.87	8.67	13629	8.60	11.63	3.02
RANGNRF	7.52	0.88	7.54	2.48	11.18	13629	8.60	11.63	4.51
GPATC3	6.93	0.81	7.06	1.89	9.53	13629	8.59	11.63	5.05
TFB2M	8.09	0.94	8.19	2.35	11.05	13629	8.59	11.64	4.70
PRKCABP	6.52	0.76	6.55	2.89	10.04	13629	8.59	11.64	3.48
RBL2	7.75	0.90	7.76	3.43	11.21	13629	8.59	11.64	3.27
C21orf6	7.62	0.89	7.67	2.80	12.03	13629	8.59	11.64	4.30
RDH14	7.61	0.89	7.64	2.05	11.22	13629	8.59	11.64	5.46
TRIM8	8.40	0.98	8.44	2.43	12.94	13629	8.59	11.64	5.33
ELAC2	6.56	0.76	6.66	2.89	11.16	13629	8.59	11.65	3.85
JARID1B	7.59	0.88	7.54	2.98	10.69	13629	8.58	11.65	3.59
C9orf7	7.62	0.89	7.50	2.68	11.04	13629	8.58	11.65	4.12
SCARB2	7.48	0.87	7.48	2.13	10.64	13629	8.58	11.65	4.99
ALDH3A2	8.04	0.94	8.04	3.91	12.38	13629	8.58	11.65	3.16
ACP6	7.84	0.91	7.86	2.35	12.34	13629	8.58	11.65	5.25
ARL2	8.32	0.97	8.35	3.31	11.45	13629	8.58	11.66	3.46
FVT1	7.91	0.92	7.94	3.14	11.68	13629	8.58	11.66	3.72
ZNF586	7.12	0.83	7.13	2.62	11.30	13629	8.58	11.66	4.31
JMJD2C	6.50	0.76	6.56	3.32	9.63	13629	8.58	11.66	2.90
NTE	7.80	0.91	7.80	2.14	11.79	13629	8.58	11.66	5.50
CORO1C	9.20	1.07	9.22	2.53	12.53	13629	8.57	11.66	4.96
TCEAL1	7.90	0.92	7.89	2.80	11.75	13629	8.57	11.67	4.20
ARHGEF1	7.61	0.89	7.56	2.82	11.01	13629	8.57	11.67	3.91
CORO1B	7.74	0.90	7.75	3.80	11.27	13629	8.57	11.67	2.96
SACM1L	8.50	0.99	8.64	2.42	11.86	13629	8.57	11.67	4.90
RAB6IP2	6.46	0.75	6.56	3.61	9.38	13629	8.57	11.67	2.60
WARS	8.89	1.04	8.82	4.22	13.43	13629	8.56	11.68	3.18
ABR	7.71	0.90	7.69	4.46	11.60	13629	8.56	11.68	2.60
DRG2	6.92	0.81	7.01	3.47	9.94	13629	8.56	11.68	2.86
NEK3	6.20	0.72	6.17	2.58	10.11	13629	8.56	11.68	3.91
SMARCA4	7.68	0.90	7.71	2.10	11.44	13629	8.56	11.68	5.44
TMEM34	7.17	0.84	7.22	1.93	11.80	13629	8.56	11.68	6.13
KATNB1	7.19	0.84	7.12	4.41	11.09	13629	8.56	11.69	2.51
TNKS2	8.11	0.95	8.24	2.14	11.35	13629	8.56	11.69	5.31
RNF123	7.54	0.88	7.50	2.74	11.26	13629	8.56	11.69	4.11
PIP5K1C	7.90	0.92	7.92	2.84	12.83	13629	8.55	11.69	4.51
RNF113A	7.78	0.91	7.75	2.85	10.93	13629	8.55	11.69	3.83
TSTA3	8.07	0.94	8.10	4.52	11.91	13629	8.55	11.69	2.64
FBXL14	7.67	0.90	7.76	3.10	11.93	13629	8.55	11.69	3.84
SORBS3	7.15	0.84	7.11	3.28	10.21	13629	8.55	11.69	3.11
XRCC2	7.11	0.83	7.12	2.78	12.07	13629	8.55	11.69	4.34
EIF3S1	7.60	0.89	7.66	4.01	10.06	13629	8.55	11.70	2.51
DDX39	9.22	1.08	9.29	3.94	12.36	13629	8.55	11.70	3.14
TFAM	7.10	0.83	7.12	3.15	10.96	13629	8.55	11.70	3.47
MAK3	9.16	1.07	9.23	3.97	13.02	13629	8.54	11.70	3.28
ATAD3A	7.10	0.83	7.14	3.14	10.29	13629	8.54	11.70	3.28
ACAD8	7.09	0.83	7.14	2.44	10.97	13629	8.54	11.71	4.50
RPRC1	8.49	0.99	8.47	2.41	11.42	13629	8.54	11.71	4.74
MBD5	6.64	0.78	6.71	2.62	9.75	13629	8.54	11.71	3.73
EP300	6.90	0.81	6.96	3.78	10.00	13629	8.54	11.71	2.65
KIAA0427	6.29	0.74	6.24	3.32	9.56	13629	8.54	11.71	2.88
MRPS11	6.87	0.80	6.94	2.84	10.65	13629	8.54	11.71	3.75
ARMC8	6.82	0.80	6.92	3.26	11.18	13629	8.54	11.72	3.43
KIAA0894	8.48	0.99	8.46	3.15	11.99	13629	8.53	11.72	3.80
U1SNRNPBP	7.10	0.83	7.23	2.08	10.56	13629	8.53	11.72	5.07
TBX6	5.62	0.66	5.65	2.51	8.97	13629	8.53	11.72	3.58
ANKRD28	7.58	0.89	7.49	2.66	11.76	13629	8.53	11.72	4.43
NDUFS1	8.29	0.97	8.27	2.68	12.88	13629	8.53	11.73	4.81
FPGS	7.78	0.91	7.87	3.27	11.11	13629	8.53	11.73	3.39
ISOC2	7.56	0.89	7.57	2.82	11.18	13629	8.53	11.73	3.97
GNS	8.24	0.97	8.25	3.15	11.99	13629	8.53	11.73	3.80
USP13	7.74	0.91	7.66	3.19	11.43	13629	8.53	11.73	3.59
ERCC1	7.84	0.92	7.88	1.54	11.97	13629	8.53	11.73	7.79
GCLC	7.86	0.92	7.84	3.70	11.80	13629	8.53	11.73	3.19
PHF15	7.30	0.86	7.29	3.85	10.42	13629	8.52	11.73	2.70
KIAA0284	8.07	0.95	8.07	3.40	11.63	13629	8.52	11.73	3.42
TMEM63A	6.30	0.74	6.27	2.59	9.54	13629	8.52	11.73	3.68
CNOT2	7.24	0.85	7.32	4.66	10.89	13629	8.52	11.73	2.34
CHCHD7	7.63	0.90	7.58	2.82	11.84	13629	8.52	11.73	4.21
TRIM21	7.51	0.88	7.48	2.17	10.74	13629	8.52	11.74	4.95
HIF1A	10.46	1.23	10.67	3.46	13.20	13629	8.52	11.74	3.82
APRIN	6.83	0.80	6.95	3.77	9.58	13629	8.52	11.74	2.54
TRIM24	7.58	0.89	7.46	4.02	12.01	13629	8.52	11.74	2.99
CRI1	8.60	1.01	8.67	2.17	11.05	13629	8.52	11.74	5.09
LOC339047	10.29	1.21	10.37	3.46	13.90	13629	8.52	11.74	4.02
PPP1R2	7.99	0.94	8.05	2.89	10.98	13629	8.52	11.74	3.79
FECH	7.16	0.84	7.12	3.43	12.42	13629	8.51	11.74	3.62
PTK9L	7.33	0.86	7.30	2.81	10.55	13629	8.51	11.74	3.75
ERBB2IP	8.66	1.02	8.77	2.47	12.31	13629	8.51	11.75	4.99
TK2	7.51	0.88	7.31	5.30	12.31	13629	8.51	11.75	2.32
MRPS33	8.86	1.04	9.03	2.77	11.41	13629	8.51	11.75	4.12
PRSS22	6.63	0.78	6.62	2.72	10.09	13629	8.51	11.75	3.72
MINA	7.52	0.88	7.59	3.37	11.47	13629	8.51	11.75	3.41
DECR2	7.61	0.89	7.62	3.64	11.20	13629	8.51	11.75	3.07
PHTF1	6.42	0.75	6.40	3.20	9.90	13629	8.51	11.75	3.09
CDA08	8.64	1.02	8.65	2.34	11.87	13629	8.51	11.75	5.07
C6orf62	8.72	1.02	8.83	4.25	12.96	13629	8.51	11.75	3.05
C22orf9	7.86	0.92	7.79	4.99	12.51	13629	8.51	11.76	2.51
DISC1	5.73	0.67	5.77	2.63	7.93	13629	8.50	11.76	3.01
MKL1	5.98	0.70	5.91	2.82	8.70	13629	8.50	11.76	3.09
MBTPS2	6.19	0.73	6.23	2.81	9.34	13629	8.50	11.76	3.33
HD	6.78	0.80	6.78	3.56	10.06	13629	8.50	11.76	2.83
SERPINB6	8.98	1.06	9.15	2.32	11.84	13629	8.50	11.76	5.10
ATP2B4	8.08	0.95	8.11	4.43	11.84	13629	8.50	11.76	2.67
TXNRD2	6.23	0.73	6.26	2.80	9.59	13629	8.50	11.76	3.42
ACAT1	9.44	1.11	9.38	4.27	14.03	13629	8.50	11.76	3.28
TMEM49	9.65	1.14	9.71	3.04	13.82	13629	8.50	11.77	4.55
LANCL2	7.14	0.84	7.17	2.49	13.12	13629	8.50	11.77	5.27
CCDC25	7.02	0.83	7.11	2.29	10.83	13629	8.49	11.77	4.72
DDX28	5.77	0.68	5.79	3.51	8.23	13629	8.49	11.77	2.34
MRPL34	8.10	0.95	8.16	2.74	11.47	13629	8.49	11.77	4.18
GIYD2	8.13	0.96	8.24	3.80	10.90	13629	8.49	11.78	2.87
ZDHHC18	7.16	0.84	7.14	2.87	11.68	13629	8.49	11.78	4.07
MYCBP	7.27	0.86	7.32	3.74	10.49	13629	8.49	11.78	2.80
ATRX	7.18	0.85	7.28	3.62	9.75	13629	8.49	11.79	2.69
TARS	9.05	1.07	9.15	2.29	11.96	13629	8.49	11.79	5.21
ATN1	6.58	0.78	6.58	3.59	11.12	13629	8.48	11.79	3.10
TSPAN14	8.17	0.96	8.23	3.57	11.27	13629	8.48	11.79	3.15
UBA2	9.05	1.07	9.17	2.14	12.13	13629	8.48	11.79	5.66
MOCS1	5.73	0.68	5.72	2.10	9.39	13629	8.48	11.79	4.46
FLJ12975	7.82	0.92	7.76	2.93	12.82	13629	8.48	11.79	4.38
EIF2AK2	7.74	0.91	7.76	2.60	12.07	13629	8.48	11.80	4.64
HLRC1	6.18	0.73	6.14	2.49	9.20	13629	8.47	11.80	3.70
ERCC5	7.31	0.86	7.34	2.54	11.38	13629	8.47	11.81	4.49
USP19	6.16	0.73	6.15	2.08	9.63	13629	8.47	11.81	4.63
LKAP	8.02	0.95	8.06	2.35	11.20	13629	8.47	11.81	4.76
SPTAN1	7.89	0.93	7.81	2.45	11.48	13629	8.47	11.81	4.69
ZNF306	6.61	0.78	6.59	2.58	9.68	13629	8.47	11.81	3.75
WDR4	6.21	0.73	6.27	2.58	8.83	13629	8.47	11.81	3.41
TRAPPC6A	7.61	0.90	7.59	2.74	10.75	13629	8.47	11.81	3.92
MAP3K9	6.18	0.73	6.14	2.37	9.41	13629	8.47	11.81	3.97
ALAD	6.73	0.79	6.77	2.83	11.11	13629	8.47	11.81	3.93
GABPB2	7.00	0.83	7.01	3.37	10.33	13629	8.47	11.81	3.07
HLA-E	10.20	1.20	10.31	5.85	13.09	13629	8.46	11.81	2.24
MEF2A	7.46	0.88	7.42	3.55	10.99	13629	8.46	11.82	3.10
RHEB	8.50	1.00	8.78	5.21	11.19	13629	8.46	11.82	2.15
ABHD11	7.89	0.93	7.74	3.80	12.27	13629	8.46	11.82	3.23
NEK9	7.48	0.88	7.53	2.43	9.91	13629	8.46	11.82	4.08
ADAM10	8.29	0.98	8.42	4.15	11.59	13629	8.46	11.82	2.79
HERC2	7.44	0.88	7.45	2.07	10.74	13629	8.46	11.82	5.19
RHOQ	8.42	1.00	8.30	4.38	11.80	13629	8.45	11.83	2.70
ARL6IP	9.88	1.17	10.08	3.34	13.31	13629	8.45	11.83	3.99
URG4	7.64	0.90	7.75	3.22	11.04	13629	8.45	11.83	3.43
IQGAP1	8.87	1.05	9.03	4.84	11.84	13629	8.45	11.83	2.45
CARD4	7.37	0.87	7.37	2.83	10.91	13629	8.45	11.84	3.86
PTPN4	7.23	0.86	7.22	2.36	11.11	13629	8.45	11.84	4.71
ABI1	8.23	0.97	8.31	3.23	11.37	13629	8.45	11.84	3.52
CCDC22	6.25	0.74	6.26	2.46	9.61	13629	8.45	11.84	3.91
PIG8	7.07	0.84	7.11	3.61	10.86	13629	8.44	11.84	3.01
MED28	6.83	0.81	6.91	2.72	9.83	13629	8.44	11.85	3.61
GNE	7.25	0.86	7.24	2.87	11.09	13629	8.44	11.85	3.87
AKR7A3	7.26	0.86	7.19	3.13	11.68	13629	8.44	11.85	3.73
LDB1	6.98	0.83	7.05	3.26	10.03	13629	8.44	11.85	3.08
LOC92249	5.84	0.69	5.91	2.46	9.43	13629	8.44	11.85	3.84
C11orf24	7.56	0.90	7.52	3.98	10.75	13629	8.44	11.85	2.70
C5orf14	8.55	1.01	8.47	3.50	13.10	13629	8.44	11.85	3.75
ROBO4	6.43	0.76	6.39	2.45	10.01	13629	8.43	11.86	4.09
GlyBP	6.41	0.76	6.48	1.96	9.47	13629	8.43	11.86	4.82
CRSP3	7.36	0.87	7.40	2.63	11.19	13629	8.43	11.86	4.25
ZNF20	6.36	0.75	6.41	2.41	9.58	13629	8.43	11.86	3.98
ING2	6.38	0.76	6.39	2.83	10.30	13629	8.43	11.86	3.64
METTL5	8.25	0.98	8.42	4.06	10.90	13629	8.43	11.87	2.68
ING3	7.64	0.91	7.62	2.51	11.11	13629	8.42	11.87	4.42
ANAPC2	7.26	0.86	7.32	2.54	10.37	13629	8.42	11.87	4.09
PIK3R2	6.55	0.78	6.57	2.44	10.15	13629	8.42	11.87	4.16
PITPNC1	7.64	0.91	7.53	3.88	11.25	13629	8.42	11.87	2.90
NOD9	7.24	0.86	7.26	2.80	10.00	13629	8.42	11.88	3.57
APBB2	5.82	0.69	5.78	2.83	9.59	13629	8.42	11.88	3.39
TRIM66	6.57	0.78	6.58	2.26	9.58	13629	8.42	11.88	4.23
TBX10	5.48	0.65	5.51	2.81	10.38	13629	8.41	11.89	3.69
HIP1R	7.22	0.86	7.19	4.05	11.70	13629	8.41	11.89	2.89
SREBF2	7.50	0.89	7.51	2.87	10.81	13629	8.41	11.89	3.77
LPP	7.98	0.95	7.98	3.83	11.90	13629	8.41	11.89	3.11
TULP4	7.65	0.91	7.59	2.28	11.51	13629	8.41	11.89	5.06
UBE2E3	9.14	1.09	9.30	1.95	12.48	13629	8.41	11.89	6.39
UBE2H	7.93	0.94	7.97	3.41	11.88	13629	8.41	11.90	3.49
CAPN1	7.68	0.91	7.69	2.08	11.69	13629	8.41	11.90	5.62
IHPK1	7.48	0.89	7.54	3.09	10.28	13629	8.41	11.90	3.33
NUP188	6.25	0.74	6.20	3.52	9.37	13629	8.40	11.90	2.66
S100PBPR	7.26	0.86	7.31	3.22	11.21	13629	8.40	11.90	3.48
RECQL5	5.44	0.65	5.43	2.46	7.80	13629	8.40	11.90	3.17
BBX	8.17	0.97	8.21	3.86	11.62	13629	8.40	11.91	3.01
POLR2A	6.60	0.79	6.62	4.02	10.02	13629	8.40	11.91	2.49
UPF3B	7.92	0.94	7.98	2.64	12.26	13629	8.40	11.91	4.64
GPR27	6.56	0.78	6.55	2.34	10.59	13629	8.39	11.92	4.53
ZNF34	5.94	0.71	5.99	2.72	10.68	13629	8.39	11.92	3.92
POLG2	6.78	0.81	6.84	2.59	9.86	13629	8.39	11.92	3.81
C15orf25	9.12	1.09	9.09	4.00	13.47	13629	8.39	11.92	3.37
MGC11266	5.97	0.71	5.92	2.20	9.54	13629	8.39	11.92	4.33
PRAMEF11	5.92	0.71	5.94	2.32	9.77	13629	8.39	11.92	4.21
EXOSC2	6.15	0.73	6.08	3.43	8.59	13629	8.38	11.93	2.50
ACVR2B	6.82	0.81	6.88	2.56	11.63	13629	8.38	11.93	4.54
HTR4	5.63	0.67	5.62	2.36	8.54	13629	8.38	11.93	3.62
TUB	5.10	0.61	5.10	2.79	7.96	13629	8.38	11.93	2.85
ACTR8	6.34	0.76	6.43	2.63	9.52	13629	8.38	11.93	3.62
GNA12	7.08	0.85	7.15	3.37	10.75	13629	8.38	11.93	3.19
PSMD5	6.86	0.82	6.99	2.61	9.80	13629	8.38	11.93	3.76
CD40	6.78	0.81	6.66	4.32	12.27	13629	8.38	11.93	2.84
ACOX3	6.30	0.75	6.32	2.38	9.98	13629	8.38	11.93	4.20
PAOX	6.11	0.73	6.04	3.55	9.98	13629	8.38	11.93	2.81
ULK2	6.09	0.73	6.07	2.87	8.61	13629	8.38	11.94	3.00
SULT1A1	8.54	1.02	8.54	2.51	12.15	13629	8.38	11.94	4.84
WRB	8.62	1.03	8.70	2.29	11.86	13629	8.38	11.94	5.17
HNRPH2	8.56	1.02	8.70	1.93	11.55	13629	8.38	11.94	6.00
NME1	10.04	1.20	10.09	5.00	13.61	13629	8.38	11.94	2.72
COX17	8.92	1.06	9.00	2.41	12.24	13629	8.38	11.94	5.09
PLK3	6.43	0.77	6.39	2.81	9.87	13629	8.37	11.94	3.52
MGST3	10.23	1.22	10.39	2.43	13.16	13629	8.37	11.94	5.41
GTPBP4	7.60	0.91	7.58	3.60	10.67	13629	8.37	11.94	2.97
DOCK6	5.91	0.71	5.91	3.62	8.94	13629	8.37	11.94	2.47
TNK1	7.04	0.84	7.05	3.51	9.99	13629	8.37	11.94	2.85
UNC5B	7.28	0.87	7.18	3.05	10.66	13629	8.37	11.95	3.49
GYG	9.32	1.11	9.27	2.20	13.09	13629	8.37	11.95	5.94
NUP50	7.22	0.86	7.27	3.43	9.93	13629	8.37	11.95	2.89
ZNF287	5.37	0.64	5.38	2.76	9.06	13629	8.37	11.95	3.28
FLJ22794	8.41	1.01	8.50	2.58	12.33	13629	8.37	11.95	4.77
TCERG1	8.48	1.01	8.61	2.35	11.55	13629	8.37	11.95	4.92
RBM15	8.20	0.98	8.19	2.51	12.33	13629	8.37	11.95	4.91
FLJ20272	7.34	0.88	7.39	2.98	10.92	13629	8.37	11.95	3.66
TIMM17B	8.05	0.96	8.08	2.58	11.20	13629	8.36	11.96	4.33
SELT	9.53	1.14	9.62	2.48	13.04	13629	8.36	11.96	5.25
SCAMP1	7.40	0.89	7.50	3.90	10.16	13629	8.36	11.96	2.61
LMNA	8.53	1.02	8.60	5.04	11.96	13629	8.36	11.96	2.38
MT	6.84	0.82	6.98	2.23	9.99	13629	8.36	11.96	4.48
FAM60A	9.25	1.11	9.41	3.30	13.24	13629	8.36	11.96	4.01
KIAA0063	8.20	0.98	8.29	3.46	12.86	13629	8.36	11.96	3.72
DRAP1	7.96	0.95	8.04	2.23	11.43	13629	8.36	11.96	5.12
LOC400506	6.41	0.77	6.45	2.74	10.18	13629	8.36	11.97	3.72
NUCB1	8.12	0.97	8.19	3.02	11.01	13629	8.36	11.97	3.65
GLT8D1	7.85	0.94	7.88	2.76	11.08	13629	8.36	11.97	4.02
NUP43	8.34	1.00	8.46	1.91	11.72	13629	8.36	11.97	6.13
TMEM33	7.56	0.91	7.56	2.10	11.02	13629	8.35	11.97	5.24
TOB2	7.33	0.88	7.29	3.43	11.16	13629	8.35	11.97	3.25
LSM8	8.24	0.99	8.37	2.46	12.20	13629	8.35	11.97	4.96
XPA	7.17	0.86	7.24	2.46	10.13	13629	8.35	11.98	4.12
PPP1CA	9.24	1.11	9.42	2.58	12.11	13629	8.34	11.98	4.69
STOML1	6.70	0.80	6.65	3.46	10.85	13629	8.34	11.99	3.14
SMUG1	6.38	0.76	6.46	2.28	11.30	13629	8.34	11.99	4.95
MGC32020	6.15	0.74	6.18	2.40	9.23	13629	8.34	11.99	3.84
AP3M2	7.63	0.92	7.60	2.17	11.44	13629	8.34	11.99	5.27
MCL1	9.13	1.09	9.10	5.90	12.19	13629	8.34	11.99	2.07
CIT	7.78	0.93	7.75	2.31	12.44	13629	8.34	11.99	5.39
C14orf147	8.00	0.96	8.10	3.32	11.62	13629	8.34	12.00	3.50
ARHGDIA	8.46	1.01	8.42	4.61	11.51	13629	8.33	12.00	2.50
XRCC1	6.66	0.80	6.76	2.46	10.23	13629	8.33	12.00	4.17
NFYB	6.91	0.83	7.05	2.30	11.27	13629	8.33	12.00	4.90
PEX12	7.11	0.85	7.14	2.74	10.14	13629	8.33	12.01	3.69
COPG	7.78	0.93	7.84	2.70	11.32	13629	8.33	12.01	4.19
HSPBP1	7.41	0.89	7.42	2.98	10.96	13629	8.33	12.01	3.68
HIPK1	7.98	0.96	7.86	3.08	11.90	13629	8.33	12.01	3.87
MAGED2	8.45	1.01	8.34	3.84	12.67	13629	8.33	12.01	3.30
SEL1L	7.60	0.91	7.47	4.47	11.74	13629	8.33	12.01	2.63
USF2	8.18	0.98	8.15	3.97	11.20	13629	8.32	12.02	2.82
ZYG11BL	6.33	0.76	6.33	2.91	9.96	13629	8.32	12.02	3.43
PEX3	7.12	0.86	7.24	2.56	11.45	13629	8.32	12.02	4.47
C1QDC1	7.77	0.93	7.78	2.41	11.76	13629	8.32	12.02	4.88
KIF13B	7.45	0.90	7.37	2.77	10.88	13629	8.32	12.02	3.93
UCHL3	8.30	1.00	8.33	2.43	13.10	13629	8.32	12.02	5.40
MGC21688	7.27	0.87	7.21	2.61	12.16	13629	8.32	12.03	4.66
HIPK2	6.75	0.81	6.73	3.72	11.38	13629	8.32	12.03	3.06
FLJ11506	6.66	0.80	6.75	2.96	9.26	13629	8.31	12.03	3.12
ODC1	10.16	1.22	10.19	3.10	14.03	13629	8.31	12.03	4.52
RXRA	7.64	0.92	7.52	3.31	11.13	13629	8.31	12.03	3.36
HNRPM	8.74	1.05	8.90	4.01	11.26	13629	8.31	12.03	2.81
NUTF2	8.57	1.03	8.57	2.96	11.83	13629	8.31	12.03	3.99
DAP	8.50	1.02	8.56	2.81	12.08	13629	8.31	12.03	4.30
PORCN	6.88	0.83	6.97	2.24	10.26	13629	8.31	12.04	4.57
RAG1AP1	7.36	0.89	7.33	2.76	10.54	13629	8.31	12.04	3.82
C14orf87	9.10	1.10	9.13	4.07	13.04	13629	8.30	12.04	3.21
AMPD3	6.71	0.81	6.66	3.02	10.83	13629	8.30	12.05	3.59
ARMC1	8.01	0.96	8.15	2.49	11.72	13629	8.30	12.05	4.72
SUV39H1	7.16	0.86	7.21	2.59	9.98	13629	8.30	12.05	3.86
CETN2	8.57	1.03	8.69	3.20	13.12	13629	8.30	12.05	4.10
PSKH1	6.86	0.83	7.01	2.59	9.32	13629	8.30	12.05	3.61
DNMBP	7.41	0.89	7.36	2.61	11.31	13629	8.30	12.05	4.34
ZCCHC4	5.17	0.62	5.23	2.45	7.43	13629	8.30	12.05	3.03
KIAA0495	6.52	0.79	6.66	2.43	10.08	13629	8.30	12.05	4.15
FRS3	6.26	0.75	6.31	2.28	9.92	13629	8.29	12.06	4.36
GPSN2	8.63	1.04	8.74	2.45	11.68	13629	8.29	12.06	4.76
BRP44L	8.68	1.05	8.56	4.49	13.43	13629	8.29	12.06	2.99
SS18	6.50	0.78	6.56	3.99	9.52	13629	8.29	12.06	2.38
SLC25A22	6.99	0.84	7.08	2.87	10.17	13629	8.29	12.07	3.55
TXNDC	8.76	1.06	8.95	4.39	11.52	13629	8.29	12.07	2.62
FLJ12986	6.38	0.77	6.42	2.35	9.52	13629	8.28	12.07	4.05
ADARB1	6.19	0.75	6.15	3.46	10.72	13629	8.28	12.07	3.10
EGLN1	7.26	0.88	7.22	2.50	11.99	13629	8.28	12.07	4.80
GMPS	8.30	1.00	8.30	3.73	11.89	13629	8.28	12.07	3.18
C16orf49	8.54	1.03	8.50	2.63	11.82	13629	8.28	12.08	4.48
HCFC2	6.21	0.75	6.19	2.25	10.31	13629	8.28	12.08	4.58
VAT1	9.26	1.12	9.28	3.67	12.82	13629	8.28	12.08	3.50
KCTD5	7.69	0.93	7.75	2.56	10.59	13629	8.28	12.08	4.14
UGCGL1	6.82	0.82	6.88	2.26	9.99	13629	8.28	12.08	4.42
LETM1	6.16	0.74	6.20	2.58	9.22	13629	8.28	12.08	3.57
ZNF14	6.67	0.81	6.70	1.99	11.00	13629	8.28	12.08	5.54
EMD	7.38	0.89	7.34	2.58	10.82	13629	8.28	12.08	4.19
ZNF271	6.98	0.84	7.13	2.09	10.27	13629	8.28	12.08	4.91
ARFIP1	7.10	0.86	7.23	2.28	10.56	13629	8.28	12.08	4.63
ZF	6.39	0.77	6.39	3.64	9.18	13629	8.28	12.08	2.52
GRN	9.46	1.14	9.60	4.52	13.26	13629	8.27	12.09	2.94
CCBL1	6.99	0.84	7.07	2.41	10.02	13629	8.27	12.09	4.16
MPPE1	6.96	0.84	7.02	3.57	10.24	13629	8.27	12.09	2.87
LOC57146	7.00	0.85	6.98	2.84	10.69	13629	8.27	12.09	3.77
GSPT1	8.13	0.98	8.21	4.34	12.01	13629	8.27	12.09	2.77
KIAA1280	7.87	0.95	7.91	2.56	11.55	13629	8.27	12.09	4.51
APRT	8.30	1.00	8.36	3.42	11.31	13629	8.27	12.09	3.31
HADHSC	8.15	0.99	8.10	3.98	11.89	13629	8.27	12.09	2.99
FTO	7.73	0.93	7.74	4.07	11.71	13629	8.27	12.09	2.87
RAB11B	6.45	0.78	6.43	3.50	10.19	13629	8.27	12.10	2.91
ELL	5.88	0.71	5.83	2.78	8.67	13629	8.27	12.10	3.12
FLJ20010	6.68	0.81	6.70	2.29	10.12	13629	8.26	12.10	4.41
TAZ	6.67	0.81	6.61	2.88	9.49	13629	8.26	12.10	3.30
USP1	8.55	1.03	8.63	4.08	12.17	13629	8.26	12.10	2.98
KIAA0261	6.83	0.83	7.00	2.59	9.61	13629	8.26	12.11	3.72
ZNF609	6.06	0.73	6.04	2.80	9.88	13629	8.26	12.11	3.53
HNRPH1	9.80	1.19	10.03	5.64	12.32	13629	8.26	12.11	2.18
DHX9	7.13	0.86	7.14	4.45	10.35	13629	8.26	12.11	2.33
GTF2H5	8.42	1.02	8.60	2.43	11.87	13629	8.26	12.11	4.88
PKD1	6.10	0.74	6.04	2.45	10.57	13629	8.26	12.11	4.32
EXOSC4	7.39	0.89	7.36	3.68	11.97	13629	8.26	12.11	3.25
DKFZP434H132	6.94	0.84	6.80	4.32	10.24	13629	8.26	12.11	2.37
TGIF2	6.77	0.82	6.80	3.08	10.07	13629	8.26	12.11	3.27
PJA2	8.71	1.05	8.78	2.23	11.67	13629	8.26	12.11	5.22
RREB1	6.42	0.78	6.51	4.13	9.44	13629	8.26	12.11	2.29
SLC25A32	7.77	0.94	7.83	2.41	11.56	13629	8.26	12.11	4.80
PCTK2	7.60	0.92	7.59	3.19	10.74	13629	8.26	12.11	3.37
ANKRD26	5.43	0.66	5.45	2.59	7.89	13629	8.26	12.11	3.05
SMARCA5	7.58	0.92	7.69	2.44	10.52	13629	8.26	12.11	4.32
PGM1	9.44	1.14	9.39	2.94	13.47	13629	8.26	12.11	4.57
C8orf1	5.40	0.65	5.40	3.31	8.42	13629	8.25	12.12	2.55
SOCS5	7.07	0.86	7.14	2.61	10.56	13629	8.25	12.12	4.05
BPY2IP1	6.84	0.83	6.91	2.23	10.47	13629	8.25	12.12	4.70
TFRC	10.38	1.26	10.43	5.14	13.66	13629	8.25	12.13	2.66
PTPN11	7.81	0.95	8.00	3.75	10.21	13629	8.25	12.13	2.72
SPATA20	8.27	1.00	8.30	2.50	12.20	13629	8.25	12.13	4.88
NASP	7.94	0.96	7.83	3.50	11.10	13629	8.24	12.13	3.17
COPS7B	7.09	0.86	7.24	2.51	9.72	13629	8.24	12.13	3.87
PAFAH1B2	6.23	0.76	6.27	2.35	9.35	13629	8.24	12.13	3.98
PMS2L2	6.70	0.81	6.79	2.03	10.08	13629	8.24	12.13	4.98
KIAA0515	8.04	0.98	8.17	2.74	10.97	13629	8.24	12.13	4.00
HMG20A	7.37	0.89	7.41	2.04	10.86	13629	8.24	12.13	5.34
PURA	7.54	0.91	7.49	3.90	10.94	13629	8.24	12.14	2.80
MGC3032	7.46	0.91	7.46	2.80	11.33	13629	8.24	12.14	4.05
UBPH	6.81	0.83	6.85	2.23	9.60	13629	8.24	12.14	4.30
LOC155060	6.89	0.84	6.94	2.44	11.11	13629	8.24	12.14	4.56
TULP3	6.89	0.84	6.99	2.89	11.29	13629	8.24	12.14	3.91
ANXA5	10.19	1.24	10.31	1.96	13.20	13629	8.24	12.14	6.72
PPM1G	7.83	0.95	7.90	2.85	11.15	13629	8.23	12.14	3.91
CRNKL1	7.45	0.90	7.54	2.36	10.59	13629	8.23	12.14	4.48
