; sequence-lengths  -v 1 -i $RSAT/public_html/tmp/apache/2015/11/03/random-genome-fragments_2015-11-03.082657_h4hfm1_template.fa -in_format fasta -o $RSAT/public_html/tmp/apache/2015/11/03/random-genome-fragments_2015-11-03.082657_h4hfm1.lengths
; Input files
;	input	/vh/rsat/rsat/public_html/tmp/apache/2015/11/03/random-genome-fragments_2015-11-03.082657_h4hfm1_template.fa
; Output files
;	output	/vh/rsat/rsat/public_html/tmp/apache/2015/11/03/random-genome-fragments_2015-11-03.082657_h4hfm1.lengths
; seq format	fasta
mm9_chr9_78381163_78381407_+	245
mm9_chr9_84973500_84973767_+	268
mm9_chr9_86249523_86249761_+	239
mm9_chr9_86541673_86541931_+	259
mm9_chr9_89159488_89159713_+	226
mm9_chr9_90192565_90192799_+	235
mm9_chr9_90198325_90198637_+	313
mm9_chr9_94356636_94356925_+	290
mm9_chr9_94379462_94379726_+	265
mm9_chr9_95458206_95458476_+	271
mm9_chr9_102099289_102099540_+	252
mm9_chr9_102638342_102638658_+	317
mm9_chr9_104134331_104134620_+	290
mm9_chr9_110744115_110744350_+	236
mm9_chr9_111232408_111232674_+	267
mm9_chr9_121291805_121292050_+	246
mm9_chr9_122024675_122024994_+	320
mm9_chrX_57714747_57714993_+	247
; Host name	biow
; Job started	2015-11-03.082658
; Job done	2015-11-03.082658
; Seconds	0.12
;	user	0.12
;	system	0.01
;	cuser	0
;	csystem	0
